,#,player,Unnamed: 2,Date of birth / Age,Nat.,Market value
4,,Caoimhin KelleherC. Kelleher,,,,
5,,Goalkeeper,,,,
6,22.0,Loris KariusL. KariusGoalkeeper,Loris Karius,"Jun 22, 1993 (28)",,€1.50m
7,,Loris KariusL. Karius,,,,
8,,Goalkeeper,,,,
9,13.0,AdriánAdriánGoalkeeper,Adrián,"Jan 3, 1987 (35)",,€1.00m
10,,AdriánAdrián,,,,
11,,Goalkeeper,,,,
12,4.0,Virgil van DijkV. van Dijk Centre-Back,Virgil van Dijk,"Jul 8, 1991 (30)",,€55.00m
13,,Virgil van DijkV. van Dijk,,,,
14,,Centre-Back,,,,
15,5.0,Ibrahima KonatéI. KonatéCentre-Back,Ibrahima Konaté,"May 25, 1999 (23)",,€30.00m
16,,Ibrahima KonatéI. Konaté,,,,
17,,Centre-Back,,,,
18,12.0,Joe GomezJoe GomezCentre-Back,Joe Gomez,"May 23, 1997 (25)",,€22.00m
19,,Joe GomezJoe Gomez,,,,
20,,Centre-Back,,,,
21,32.0,Joel MatipJ. MatipCentre-Back,Joel Matip,"Aug 8, 1991 (30)",,€18.00m
22,,Joel MatipJ. Matip,,,,
23,,Centre-Back,,,,
24,47.0,Nathaniel PhillipsN. PhillipsCentre-Back,Nathaniel Phillips,"Mar 21, 1997 (25)",,€8.00m
25,,Nathaniel PhillipsN. Phillips,,,,
26,,Centre-Back,,,,
27,72.0,Sepp van den BergS. van den BergCentre-Back,Sepp van den Berg,"Dec 20, 2001 (20)",,€5.00m
28,,Sepp van den BergS. van den Berg,,,,
29,,Centre-Back,,,,
30,46.0,Rhys WilliamsR. WilliamsCentre-Back,Rhys Williams,"Feb 3, 2001 (21)",,€4.00m
31,,Rhys WilliamsR. Williams,,,,
32,,Centre-Back,,,,
33,28.0,Ben DaviesB. DaviesCentre-Back,Ben Davies,"Aug 11, 1995 (26)",,€2.50m
34,,Ben DaviesB. Davies,,,,
35,,Centre-Back,,,,
36,26.0,Andrew RobertsonA. RobertsonLeft-Back,Andrew Robertson,"Mar 11, 1994 (28)",,€65.00m
37,,Andrew RobertsonA. Robertson,,,,
38,,Left-Back,,,,
39,21.0,Konstantinos TsimikasK. TsimikasLeft-Back,Konstantinos Tsimikas,"May 12, 1996 (26)",,€10.00m
40,,Konstantinos TsimikasK. Tsimikas,,,,
41,,Left-Back,,,,
42,66.0,Trent Alexander-ArnoldT. Alexander-ArnoldRight-Back,Trent Alexander-Arnold,"Oct 7, 1998 (23)",,€80.00m
43,,Trent Alexander-ArnoldT. Alexander-Arnold,,,,
44,,Right-Back,,,,
45,76.0,Neco WilliamsN. WilliamsRight-Back,Neco Williams,"Apr 13, 2001 (21)",,€8.00m
46,,Neco WilliamsN. Williams,,,,
47,,Right-Back,,,,
48,3.0,FabinhoFabinhoDefensive Midfield,Fabinho,"Oct 23, 1993 (28)",,€60.00m
49,,FabinhoFabinho,,,,
50,,Defensive Midfield,,,,
51,8.0,Naby KeïtaN. KeïtaCentral Midfield,Naby Keïta,"Feb 10, 1995 (27)",,€30.00m
52,,Naby KeïtaN. Keïta,,,,
53,,Central Midfield,,,,
54,17.0,Curtis JonesC. JonesCentral Midfield,Curtis Jones,"Jan 30, 2001 (21)",,€30.00m
55,,Curtis JonesC. Jones,,,,
56,,Central Midfield,,,,
57,6.0,ThiagoThiagoCentral Midfield,Thiago,"Apr 11, 1991 (31)",,€22.00m
58,,ThiagoThiago,,,,
59,,Central Midfield,,,,
60,14.0,Jordan HendersonJ. Henderson Central Midfield,Jordan Henderson,"Jun 17, 1990 (31)",,€18.00m
61,,Jordan HendersonJ. Henderson,,,,
62,,Central Midfield,,,,
63,15.0,Alex Oxlade-ChamberlainA. Oxlade-ChamberlainCentral Midfield,Alex Oxlade-Chamberlain,"Aug 15, 1993 (28)",,€18.00m
64,,Alex Oxlade-ChamberlainA. Oxlade-Chamberlain,,,,
65,,Central Midfield,,,,
66,7.0,James MilnerJ. MilnerCentral Midfield,James Milner,"Jan 4, 1986 (36)",,€2.00m
67,,James MilnerJ. Milner,,,,
68,,Central Midfield,,,,
69,10.0,Sadio ManéS. ManéLeft Winger,Sadio Mané,"Apr 10, 1992 (30)",,€80.00m
70,,Sadio ManéS. Mané,,,,
71,,Left Winger,,,,
72,23.0,Luis DíazL. DíazLeft Winger,Luis Díaz,"Jan 13, 1997 (25)",,€45.00m
73,,Luis DíazL. Díaz,,,,
74,,Left Winger,,,,
75,18.0,Takumi MinaminoT. MinaminoLeft Winger,Takumi Minamino,"Jan 16, 1995 (27)",,€12.00m
76,,Takumi MinaminoT. Minamino,,,,
77,,Left Winger,,,,
78,54.0,Sheyi OjoSheyi OjoLeft Winger,Sheyi Ojo,"Jun 19, 1997 (24)",,€2.00m
79,,Sheyi OjoSheyi Ojo,,,,
80,,Left Winger,,,,
81,58.0,Ben WoodburnB. WoodburnLeft Winger,Ben Woodburn,"Oct 15, 1999 (22)",,€1.50m
82,,Ben WoodburnB. Woodburn,,,,
83,,Left Winger,,,,
84,11.0,Mohamed SalahMohamed SalahRight Winger,Mohamed Salah,"Jun 15, 1992 (29)",,€100.00m
85,,Mohamed SalahMohamed Salah,,,,
86,,Right Winger,,,,
87,67.0,Harvey ElliottH. ElliottRight Winger,Harvey Elliott,"Apr 4, 2003 (19)",,€22.00m
88,,Harvey ElliottH. Elliott,,,,
89,,Right Winger,,,,
90,20.0,Diogo JotaDiogo JotaCentre-Forward,Diogo Jota,"Dec 4, 1996 (25)",,€60.00m
91,,Diogo JotaDiogo Jota,,,,
92,,Centre-Forward,,,,
93,9.0,Roberto FirminoRoberto FirminoCentre-Forward,Roberto Firmino,"Oct 2, 1991 (30)",,€38.00m
94,,Roberto FirminoRoberto Firmino,,,,
95,,Centre-Forward,,,,
96,27.0,Divock OrigiD. OrigiCentre-Forward,Divock Origi,"Apr 18, 1995 (27)",,€12.00m
97,,Divock OrigiD. Origi,,,,
98,,Centre-Forward,,,,
0,16,Edouard MendyE. MendyGoalkeeper,Edouard Mendy,"Mar 1, 1992 (30)",,€32.00m
1,,Edouard MendyE. Mendy,,,,
2,,Goalkeeper,,,,
3,1,Kepa ArrizabalagaK. ArrizabalagaGoalkeeper,Kepa Arrizabalaga,"Oct 3, 1994 (27)",,€10.00m
4,,Kepa ArrizabalagaK. Arrizabalaga,,,,
5,,Goalkeeper,,,,
6,13,Marcus BettinelliM. BettinelliGoalkeeper,Marcus Bettinelli,"May 24, 1992 (30)",,€2.50m
7,,Marcus BettinelliM. Bettinelli,,,,
8,,Goalkeeper,,,,
9,2,Antonio RüdigerA. RüdigerCentre-Back,Antonio Rüdiger,"Mar 3, 1993 (29)",,€35.00m
10,,Antonio RüdigerA. Rüdiger,,,,
11,,Centre-Back,,,,
12,4,Andreas ChristensenA. ChristensenCentre-Back,Andreas Christensen,"Apr 10, 1996 (26)",,€35.00m
13,,Andreas ChristensenA. Christensen,,,,
14,,Centre-Back,,,,
15,14,Trevoh ChalobahT. ChalobahCentre-Back,Trevoh Chalobah,"Jul 5, 1999 (22)",,€20.00m
16,,Trevoh ChalobahT. Chalobah,,,,
17,,Centre-Back,,,,
18,31,Malang SarrM. SarrCentre-Back,Malang Sarr,"Jan 23, 1999 (23)",,€8.00m
19,,Malang SarrM. Sarr,,,,
20,,Centre-Back,,,,
21,6,Thiago SilvaT. SilvaCentre-Back,Thiago Silva,"Sep 22, 1984 (37)",,€2.50m
22,,Thiago SilvaT. Silva,,,,
23,,Centre-Back,,,,
24,35,Jake Clarke-SalterJ. Clarke-SalterCentre-Back,Jake Clarke-Salter,"Sep 22, 1997 (24)",,€2.00m
25,,Jake Clarke-SalterJ. Clarke-Salter,,,,
26,,Centre-Back,,,,
27,21,Ben ChilwellB. ChilwellLeft-Back,Ben Chilwell,"Dec 21, 1996 (25)",,€38.00m
28,,Ben ChilwellB. Chilwell,,,,
29,,Left-Back,,,,
30,3,Marcos AlonsoM. AlonsoLeft-Back,Marcos Alonso,"Dec 28, 1990 (31)",,€15.00m
31,,Marcos AlonsoM. Alonso,,,,
32,,Left-Back,,,,
33,-,Abdul-Rahman BabaA. BabaLeft-Back,Abdul-Rahman Baba,"Jul 2, 1994 (27)",,€2.20m
34,,Abdul-Rahman BabaA. Baba,,,,
35,,Left-Back,,,,
36,24,Reece JamesR. JamesRight-Back,Reece James,"Dec 8, 1999 (22)",,€55.00m
37,,Reece JamesR. James,,,,
38,,Right-Back,,,,
39,28,César AzpilicuetaC. Azpilicueta Right-Back,César Azpilicueta,"Aug 28, 1989 (32)",,€11.00m
40,,César AzpilicuetaC. Azpilicueta,,,,
41,,Right-Back,,,,
42,7,N'Golo KantéN. KantéDefensive Midfield,N'Golo Kanté,"Mar 29, 1991 (31)",,€50.00m
43,,N'Golo KantéN. Kanté,,,,
44,,Defensive Midfield,,,,
45,5,JorginhoJorginhoDefensive Midfield,Jorginho,"Dec 20, 1991 (30)",,€45.00m
46,,JorginhoJorginho,,,,
47,,Defensive Midfield,,,,
48,8,Mateo KovacicM. KovacicCentral Midfield,Mateo Kovacic,"May 6, 1994 (28)",,€45.00m
49,,Mateo KovacicM. Kovacic,,,,
50,,Central Midfield,,,,
51,17,Saúl ÑíguezS. ÑíguezCentral Midfield,Saúl Ñíguez,"Nov 21, 1994 (27)",,€28.00m
52,,Saúl ÑíguezS. Ñíguez,,,,
53,,Central Midfield,,,,
54,12,Ruben Loftus-CheekR. Loftus-CheekCentral Midfield,Ruben Loftus-Cheek,"Jan 23, 1996 (26)",,€20.00m
55,,Ruben Loftus-CheekR. Loftus-Cheek,,,,
56,,Central Midfield,,,,
57,18,Ross BarkleyR. BarkleyCentral Midfield,Ross Barkley,"Dec 5, 1993 (28)",,€13.00m
58,,Ross BarkleyR. Barkley,,,,
59,,Central Midfield,,,,
60,-,Billy GilmourB. GilmourCentral Midfield,Billy Gilmour,"Jun 11, 2001 (20)",,€12.00m
61,,Billy GilmourB. Gilmour,,,,
62,,Central Midfield,,,,
63,-,Danny DrinkwaterD. DrinkwaterCentral Midfield,Danny Drinkwater,"Mar 5, 1990 (32)",,€1.20m
64,,Danny DrinkwaterD. Drinkwater,,,,
65,,Central Midfield,,,,
66,23,KenedyKenedyLeft Midfield,Kenedy,"Feb 8, 1996 (26)",,€7.00m
67,,KenedyKenedy,,,,
68,,Left Midfield,,,,
69,19,Mason MountM. MountAttacking Midfield,Mason Mount,"Jan 10, 1999 (23)",,€75.00m
70,,Mason MountM. Mount,,,,
71,,Attacking Midfield,,,,
72,29,Kai HavertzK. HavertzAttacking Midfield,Kai Havertz,"Jun 11, 1999 (22)",,€70.00m
73,,Kai HavertzK. Havertz,,,,
74,,Attacking Midfield,,,,
75,22,Hakim ZiyechH. ZiyechAttacking Midfield,Hakim Ziyech,"Mar 19, 1993 (29)",,€32.00m
76,,Hakim ZiyechH. Ziyech,,,,
77,,Attacking Midfield,,,,
78,-,Charly Musonda Jr.C. Musonda Jr.Attacking Midfield,Charly Musonda Jr.,"Oct 15, 1996 (25)",,€1.00m
79,,Charly Musonda Jr.C. Musonda Jr.,,,,
80,,Attacking Midfield,,,,
81,10,Christian PulisicC. PulisicRight Winger,Christian Pulisic,"Sep 18, 1998 (23)",,€45.00m
82,,Christian PulisicC. Pulisic,,,,
83,,Right Winger,,,,
84,20,Callum Hudson-OdoiC. Hudson-OdoiRight Winger,Callum Hudson-Odoi,"Nov 7, 2000 (21)",,€30.00m
85,,Callum Hudson-OdoiC. Hudson-Odoi,,,,
86,,Right Winger,,,,
87,9,Romelu LukakuR. Lukaku Centre-Forward,Romelu Lukaku,"May 13, 1993 (29)",,€85.00m
88,,Romelu LukakuR. Lukaku,,,,
89,,Centre-Forward,,,,
90,11,Timo WernerT. WernerCentre-Forward,Timo Werner,"Mar 6, 1996 (26)",,€42.00m
91,,Timo WernerT. Werner,,,,
92,,Centre-Forward,,,,
0,22.0,Pierluigi GolliniP. GolliniGoalkeeper,Pierluigi Gollini,"Mar 18, 1995 (27)",,€10.00m
1,,Pierluigi GolliniP. Gollini,,,,
2,,Goalkeeper,,,,
3,1.0,Hugo LlorisH. Lloris Goalkeeper,Hugo Lloris,"Dec 26, 1986 (35)",,€7.00m
4,,Hugo LlorisH. Lloris,,,,
5,,Goalkeeper,,,,
6,40.0,Brandon AustinB. AustinGoalkeeper,Brandon Austin,"Jan 8, 1999 (23)",,€250Th.
7,,Brandon AustinB. Austin,,,,
8,,Goalkeeper,,,,
9,4.0,Cristian RomeroC. RomeroCentre-Back,Cristian Romero,"Apr 27, 1998 (24)",,€40.00m
10,,Cristian RomeroC. Romero,,,,
11,,Centre-Back,,,,
12,6.0,Davinson SánchezD. SánchezCentre-Back,Davinson Sánchez,"Jun 12, 1996 (25)",,€30.00m
13,,Davinson SánchezD. Sánchez,,,,
14,,Centre-Back,,,,
15,15.0,Eric DierEric DierCentre-Back,Eric Dier,"Jan 15, 1994 (28)",,€22.00m
16,,Eric DierEric Dier,,,,
17,,Centre-Back,,,,
18,25.0,Japhet TangangaJ. Tanganga Centre-Back,Japhet Tanganga,"Mar 31, 1999 (23)",,€15.00m
19,,Japhet TangangaJ. Tanganga,,,,
20,,Centre-Back,,,,
21,14.0,Joe RodonJoe RodonCentre-Back,Joe Rodon,"Oct 22, 1997 (24)",,€8.00m
22,,Joe RodonJoe Rodon,,,,
23,,Centre-Back,,,,
24,3.0,Sergio ReguilónS. Reguilón Left-Back,Sergio Reguilón,"Dec 16, 1996 (25)",,€28.00m
25,,Sergio ReguilónS. Reguilón,,,,
26,,Left-Back,,,,
27,33.0,Ben DaviesB. DaviesLeft-Back,Ben Davies,"Apr 24, 1993 (29)",,€20.00m
28,,Ben DaviesB. Davies,,,,
29,,Left-Back,,,,
30,12.0,Emerson RoyalEmerson RoyalRight-Back,Emerson Royal,"Jan 14, 1999 (23)",,€25.00m
31,,Emerson RoyalEmerson Royal,,,,
32,,Right-Back,,,,
33,2.0,Matt DohertyM. Doherty Right-Back,Matt Doherty,"Jan 16, 1992 (30)",,€12.00m
34,,Matt DohertyM. Doherty,,,,
35,,Right-Back,,,,
36,29.0,Oliver SkippO. Skipp Defensive Midfield,Oliver Skipp,"Sep 16, 2000 (21)",,€20.00m
37,,Oliver SkippO. Skipp,,,,
38,,Defensive Midfield,,,,
39,8.0,Harry WinksH. WinksDefensive Midfield,Harry Winks,"Feb 2, 1996 (26)",,€17.00m
40,,Harry WinksH. Winks,,,,
41,,Defensive Midfield,,,,
42,5.0,Pierre-Emile HöjbjergP. HöjbjergCentral Midfield,Pierre-Emile Höjbjerg,"Aug 5, 1995 (26)",,€40.00m
43,,Pierre-Emile HöjbjergP. Höjbjerg,,,,
44,,Central Midfield,,,,
45,30.0,Rodrigo BentancurR. Bentancur Central Midfield,Rodrigo Bentancur,"Jun 25, 1997 (24)",,€25.00m
46,,Rodrigo BentancurR. Bentancur,,,,
47,,Central Midfield,,,,
48,19.0,Ryan SessegnonR. SessegnonLeft Midfield,Ryan Sessegnon,"May 18, 2000 (22)",,€15.00m
49,,Ryan SessegnonR. Sessegnon,,,,
50,,Left Midfield,,,,
51,7.0,Heung-min SonH. SonLeft Winger,Heung-min Son,"Jul 8, 1992 (29)",,€80.00m
52,,Heung-min SonH. Son,,,,
53,,Left Winger,,,,
54,23.0,Steven BergwijnS. BergwijnLeft Winger,Steven Bergwijn,"Oct 8, 1997 (24)",,€18.00m
55,,Steven BergwijnS. Bergwijn,,,,
56,,Left Winger,,,,
57,21.0,Dejan KulusevskiD. Kulusevski Right Winger,Dejan Kulusevski,"Apr 25, 2000 (22)",,€35.00m
58,,Dejan KulusevskiD. Kulusevski,,,,
59,,Right Winger,,,,
60,27.0,Lucas MouraLucas MouraRight Winger,Lucas Moura,"Aug 13, 1992 (29)",,€20.00m
61,,Lucas MouraLucas Moura,,,,
62,,Right Winger,,,,
63,47.0,Jack ClarkeJ. ClarkeRight Winger,Jack Clarke,"Nov 23, 2000 (21)",,€5.00m
64,,Jack ClarkeJ. Clarke,,,,
65,,Right Winger,,,,
66,10.0,Harry KaneH. KaneCentre-Forward,Harry Kane,"Jul 28, 1993 (28)",,€100.00m
67,,Harry KaneH. Kane,,,,
68,,Centre-Forward,,,,
0,13.0,Alphonse AreolaA. AreolaGoalkeeper,Alphonse Areola,"Feb 27, 1993 (29)",,€9.00m
1,,Alphonse AreolaA. Areola,,,,
2,,Goalkeeper,,,,
3,1.0,Lukasz FabianskiL. FabianskiGoalkeeper,Lukasz Fabianski,"Apr 18, 1985 (37)",,€1.00m
4,,Lukasz FabianskiL. Fabianski,,,,
5,,Goalkeeper,,,,
6,35.0,Darren RandolphD. RandolphGoalkeeper,Darren Randolph,"May 12, 1987 (35)",,€1.00m
7,,Darren RandolphD. Randolph,,,,
8,,Goalkeeper,,,,
9,25.0,David MartinD. MartinGoalkeeper,David Martin,"Jan 22, 1986 (36)",,€250Th.
10,,David MartinD. Martin,,,,
11,,Goalkeeper,,,,
12,4.0,Kurt ZoumaK. ZoumaCentre-Back,Kurt Zouma,"Oct 27, 1994 (27)",,€30.00m
13,,Kurt ZoumaK. Zouma,,,,
14,,Centre-Back,,,,
15,23.0,Issa DiopIssa DiopCentre-Back,Issa Diop,"Jan 9, 1997 (25)",,€12.00m
16,,Issa DiopIssa Diop,,,,
17,,Centre-Back,,,,
18,15.0,Craig DawsonC. DawsonCentre-Back,Craig Dawson,"May 6, 1990 (32)",,€3.00m
19,,Craig DawsonC. Dawson,,,,
20,,Centre-Back,,,,
21,21.0,Angelo OgbonnaA. Ogbonna Centre-Back,Angelo Ogbonna,"May 23, 1988 (34)",,€2.00m
22,,Angelo OgbonnaA. Ogbonna,,,,
23,,Centre-Back,,,,
24,42.0,Aji AleseAji AleseCentre-Back,Aji Alese,"Jan 17, 2001 (21)",,€400Th.
25,,Aji AleseAji Alese,,,,
26,,Centre-Back,,,,
27,26.0,Arthur MasuakuA. MasuakuLeft-Back,Arthur Masuaku,"Nov 7, 1993 (28)",,€5.00m
28,,Arthur MasuakuA. Masuaku,,,,
29,,Left-Back,,,,
30,3.0,Aaron CresswellA. Cresswell Left-Back,Aaron Cresswell,"Dec 15, 1989 (32)",,€4.00m
31,,Aaron CresswellA. Cresswell,,,,
32,,Left-Back,,,,
33,5.0,Vladimir CoufalV. CoufalRight-Back,Vladimir Coufal,"Aug 22, 1992 (29)",,€12.00m
34,,Vladimir CoufalV. Coufal,,,,
35,,Right-Back,,,,
36,31.0,Ben JohnsonB. JohnsonRight-Back,Ben Johnson,"Jan 24, 2000 (22)",,€9.00m
37,,Ben JohnsonB. Johnson,,,,
38,,Right-Back,,,,
39,24.0,Ryan FredericksR. FredericksRight-Back,Ryan Fredericks,"Oct 10, 1992 (29)",,€2.00m
40,,Ryan FredericksR. Fredericks,,,,
41,,Right-Back,,,,
42,41.0,Declan RiceD. RiceDefensive Midfield,Declan Rice,"Jan 14, 1999 (23)",,€75.00m
43,,Declan RiceD. Rice,,,,
44,,Defensive Midfield,,,,
45,28.0,Tomas SoucekT. SoucekDefensive Midfield,Tomas Soucek,"Feb 27, 1995 (27)",,€45.00m
46,,Tomas SoucekT. Soucek,,,,
47,,Defensive Midfield,,,,
48,33.0,Alex KralAlex KralDefensive Midfield,Alex Kral,"May 19, 1998 (24)",,€7.00m
49,,Alex KralAlex Kral,,,,
50,,Defensive Midfield,,,,
51,54.0,Conor CoventryC. CoventryDefensive Midfield,Conor Coventry,"Mar 25, 2000 (22)",,€300Th.
52,,Conor CoventryC. Coventry,,,,
53,,Defensive Midfield,,,,
54,16.0,Mark NobleM. Noble Central Midfield,Mark Noble,"May 8, 1987 (35)",,€1.00m
55,,Mark NobleM. Noble,,,,
56,,Central Midfield,,,,
57,11.0,Nikola VlasicN. VlasicAttacking Midfield,Nikola Vlasic,"Oct 4, 1997 (24)",,€25.00m
58,,Nikola VlasicN. Vlasic,,,,
59,,Attacking Midfield,,,,
60,8.0,Pablo FornalsP. FornalsAttacking Midfield,Pablo Fornals,"Feb 22, 1996 (26)",,€20.00m
61,,Pablo FornalsP. Fornals,,,,
62,,Attacking Midfield,,,,
63,10.0,Manuel LanziniM. LanziniAttacking Midfield,Manuel Lanzini,"Feb 15, 1993 (29)",,€10.00m
64,,Manuel LanziniM. Lanzini,,,,
65,,Attacking Midfield,,,,
66,22.0,Saïd BenrahmaS. BenrahmaLeft Winger,Saïd Benrahma,"Aug 10, 1995 (26)",,€25.00m
67,,Saïd BenrahmaS. Benrahma,,,,
68,,Left Winger,,,,
69,20.0,Jarrod BowenJ. BowenRight Winger,Jarrod Bowen,"Dec 20, 1996 (25)",,€35.00m
70,,Jarrod BowenJ. Bowen,,,,
71,,Right Winger,,,,
72,7.0,Andriy YarmolenkoA. YarmolenkoRight Winger,Andriy Yarmolenko,"Oct 23, 1989 (32)",,€3.50m
73,,Andriy YarmolenkoA. Yarmolenko,,,,
74,,Right Winger,,,,
75,9.0,Michail AntonioM. AntonioCentre-Forward,Michail Antonio,"Mar 28, 1990 (32)",,€12.00m
76,,Michail AntonioM. Antonio,,,,
77,,Centre-Forward,,,,
0,32.0,Aaron RamsdaleA. RamsdaleGoalkeeper,Aaron Ramsdale,"May 14, 1998 (24)",,€25.00m
1,,Aaron RamsdaleA. Ramsdale,,,,
2,,Goalkeeper,,,,
3,1.0,Bernd LenoB. LenoGoalkeeper,Bernd Leno,"Mar 4, 1992 (30)",,€10.00m
4,,Bernd LenoB. Leno,,,,
5,,Goalkeeper,,,,
6,33.0,Arthur OkonkwoA. OkonkwoGoalkeeper,Arthur Okonkwo,"Sep 9, 2001 (20)",,€1.00m
7,,Arthur OkonkwoA. Okonkwo,,,,
8,,Goalkeeper,,,,
9,4.0,Ben WhiteBen WhiteCentre-Back,Ben White,"Oct 8, 1997 (24)",,€40.00m
10,,Ben WhiteBen White,,,,
11,,Centre-Back,,,,
12,6.0,GabrielGabrielCentre-Back,Gabriel,"Dec 19, 1997 (24)",,€30.00m
13,,GabrielGabriel,,,,
14,,Centre-Back,,,,
15,16.0,Rob HoldingR. HoldingCentre-Back,Rob Holding,"Sep 20, 1995 (26)",,€10.00m
16,,Rob HoldingR. Holding,,,,
17,,Centre-Back,,,,
18,3.0,Kieran TierneyK. TierneyLeft-Back,Kieran Tierney,"Jun 5, 1997 (25)",,€32.00m
19,,Kieran TierneyK. Tierney,,,,
20,,Left-Back,,,,
21,20.0,Nuno TavaresN. TavaresLeft-Back,Nuno Tavares,"Jan 26, 2000 (22)",,€13.00m
22,,Nuno TavaresN. Tavares,,,,
23,,Left-Back,,,,
24,18.0,Takehiro TomiyasuT. TomiyasuRight-Back,Takehiro Tomiyasu,"Nov 5, 1998 (23)",,€25.00m
25,,Takehiro TomiyasuT. Tomiyasu,,,,
26,,Right-Back,,,,
27,17.0,Cédric SoaresC. SoaresRight-Back,Cédric Soares,"Aug 31, 1991 (30)",,€5.00m
28,,Cédric SoaresC. Soares,,,,
29,,Right-Back,,,,
30,5.0,Thomas ParteyT. Partey Defensive Midfield,Thomas Partey,"Jun 13, 1993 (28)",,€40.00m
31,,Thomas ParteyT. Partey,,,,
32,,Defensive Midfield,,,,
33,34.0,Granit XhakaG. XhakaDefensive Midfield,Granit Xhaka,"Sep 27, 1992 (29)",,€20.00m
34,,Granit XhakaG. Xhaka,,,,
35,,Defensive Midfield,,,,
36,25.0,Mohamed ElnenyM. ElnenyDefensive Midfield,Mohamed Elneny,"Jul 11, 1992 (29)",,€9.00m
