,#,player,Unnamed: 2,Date of birth / Age,Nat.,Market value
42,14.0,Benjamin BourigeaudB. BourigeaudCentral Midfield,Benjamin Bourigeaud,"Jan 14, 1994 (28)",,€18.00m
43,,Benjamin BourigeaudB. Bourigeaud,,,,
44,,Central Midfield,,,,
45,8.0,Baptiste SantamariaB. SantamariaCentral Midfield,Baptiste Santamaria,"Mar 9, 1995 (27)",,€14.00m
46,,Baptiste SantamariaB. Santamaria,,,,
47,,Central Midfield,,,,
48,20.0,Flavien TaitF. TaitCentral Midfield,Flavien Tait,"Feb 2, 1993 (29)",,€8.00m
49,,Flavien TaitF. Tait,,,,
50,,Central Midfield,,,,
51,19.0,Andy DioufA. DioufCentral Midfield,Andy Diouf,"May 17, 2003 (19)",,€500Th.
52,,Andy DioufA. Diouf,,,,
53,,Central Midfield,,,,
54,21.0,Lovro MajerL. MajerAttacking Midfield,Lovro Majer,"Jan 17, 1998 (24)",,€20.00m
55,,Lovro MajerL. Majer,,,,
56,,Attacking Midfield,,,,
57,7.0,Martin TerrierM. TerrierLeft Winger,Martin Terrier,"Mar 4, 1997 (25)",,€25.00m
58,,Martin TerrierM. Terrier,,,,
59,,Left Winger,,,,
60,10.0,Kamaldeen SulemanaK. SulemanaLeft Winger,Kamaldeen Sulemana,"Feb 15, 2002 (20)",,€18.00m
61,,Kamaldeen SulemanaK. Sulemana,,,,
62,,Left Winger,,,,
63,17.0,Loum TchaounaL. TchaounaLeft Winger,Loum Tchaouna,"Sep 8, 2003 (18)",,€2.00m
64,,Loum TchaounaL. Tchaouna,,,,
65,,Left Winger,,,,
66,39.0,Mathys TelM. TelLeft Winger,Mathys Tel,"Apr 27, 2005 (17)",,€2.00m
67,,Mathys TelM. Tel,,,,
68,,Left Winger,,,,
69,11.0,Jérémy DokuJ. DokuRight Winger,Jérémy Doku,"May 27, 2002 (20)",,€20.00m
70,,Jérémy DokuJ. Doku,,,,
71,,Right Winger,,,,
72,24.0,Gaëtan LabordeG. LabordeCentre-Forward,Gaëtan Laborde,"May 3, 1994 (28)",,€18.00m
73,,Gaëtan LabordeG. Laborde,,,,
74,,Centre-Forward,,,,
75,9.0,Serhou GuirassyS. GuirassyCentre-Forward,Serhou Guirassy,"Mar 12, 1996 (26)",,€10.00m
76,,Serhou GuirassyS. Guirassy,,,,
77,,Centre-Forward,,,,
0,1,Matz SelsMatz SelsGoalkeeper,Matz Sels,"Feb 26, 1992 (30)",,€8.00m
1,,Matz SelsMatz Sels,,,,
2,,Goalkeeper,,,,
3,16,Eiji KawashimaE. KawashimaGoalkeeper,Eiji Kawashima,"Mar 20, 1983 (39)",,€200Th.
4,,Eiji KawashimaE. Kawashima,,,,
5,,Goalkeeper,,,,
6,24,Alexander DjikuA. DjikuCentre-Back,Alexander Djiku,"Aug 9, 1994 (27)",,€10.00m
7,,Alexander DjikuA. Djiku,,,,
8,,Centre-Back,,,,
9,22,Gerzino NyamsiG. NyamsiCentre-Back,Gerzino Nyamsi,"Jan 22, 1997 (25)",,€7.50m
10,,Gerzino NyamsiG. Nyamsi,,,,
11,,Centre-Back,,,,
12,5,Lucas PerrinL. PerrinCentre-Back,Lucas Perrin,"Nov 19, 1998 (23)",,€5.00m
13,,Lucas PerrinL. Perrin,,,,
14,,Centre-Back,,,,
15,29,Ismaël DoukouréI. DoukouréCentre-Back,Ismaël Doukouré,"Jul 24, 2003 (18)",,€1.50m
16,,Ismaël DoukouréI. Doukouré,,,,
17,,Centre-Back,,,,
18,23,Maxime Le MarchandM. Le MarchandCentre-Back,Maxime Le Marchand,"Oct 11, 1989 (32)",,€1.20m
19,,Maxime Le MarchandM. Le Marchand,,,,
20,,Centre-Back,,,,
21,19,Anthony CaciA. CaciLeft-Back,Anthony Caci,"Jul 1, 1997 (24)",,€7.00m
22,,Anthony CaciA. Caci,,,,
23,,Left-Back,,,,
24,2,Frédéric GuilbertF. GuilbertRight-Back,Frédéric Guilbert,"Dec 24, 1994 (27)",,€7.00m
25,,Frédéric GuilbertF. Guilbert,,,,
26,,Right-Back,,,,
27,4,Karol FilaK. FilaRight-Back,Karol Fila,"Jun 13, 1998 (23)",,€1.20m
28,,Karol FilaK. Fila,,,,
29,,Right-Back,,,,
30,27,Ibrahima SissokoI. SissokoDefensive Midfield,Ibrahima Sissoko,"Oct 27, 1997 (24)",,€8.00m
31,,Ibrahima SissokoI. Sissoko,,,,
32,,Defensive Midfield,,,,
33,6,Jean-Eudes AholouJ. AholouDefensive Midfield,Jean-Eudes Aholou,"Mar 20, 1994 (28)",,€3.00m
34,,Jean-Eudes AholouJ. Aholou,,,,
35,,Defensive Midfield,,,,
36,38,Habib DiarraH. DiarraDefensive Midfield,Habib Diarra,"Jan 3, 2004 (18)",,€600Th.
37,,Habib DiarraH. Diarra,,,,
38,,Defensive Midfield,,,,
39,17,Jean-Ricner BellegardeJ. BellegardeCentral Midfield,Jean-Ricner Bellegarde,"Jun 27, 1998 (23)",,€8.00m
40,,Jean-Ricner BellegardeJ. Bellegarde,,,,
41,,Central Midfield,,,,
42,14,Sanjin PrcicS. PrcicCentral Midfield,Sanjin Prcic,"Nov 20, 1993 (28)",,€4.00m
43,,Sanjin PrcicS. Prcic,,,,
44,,Central Midfield,,,,
45,11,Dimitri LiénardD. Liénard Central Midfield,Dimitri Liénard,"Feb 13, 1988 (34)",,€700Th.
46,,Dimitri LiénardD. Liénard,,,,
47,,Central Midfield,,,,
48,10,Adrien ThomassonA. ThomassonAttacking Midfield,Adrien Thomasson,"Dec 10, 1993 (28)",,€9.00m
49,,Adrien ThomassonA. Thomasson,,,,
50,,Attacking Midfield,,,,
51,-,Nordine KandilN. KandilAttacking Midfield,Nordine Kandil,"Oct 31, 2001 (20)",,€400Th.
52,,Nordine KandilN. Kandil,,,,
53,,Attacking Midfield,,,,
54,37,Aymeric AhmedA. AhmedAttacking Midfield,Aymeric Ahmed,"Nov 8, 2003 (18)",,€250Th.
55,,Aymeric AhmedA. Ahmed,,,,
56,,Attacking Midfield,,,,
57,15,Moïse Sahi DionM. DionSecond Striker,Moïse Sahi Dion,"Dec 20, 2001 (20)",,€800Th.
58,,Moïse Sahi DionM. Dion,,,,
59,,Second Striker,,,,
60,25,Ludovic AjorqueL. AjorqueCentre-Forward,Ludovic Ajorque,"Feb 25, 1994 (28)",,€16.00m
61,,Ludovic AjorqueL. Ajorque,,,,
62,,Centre-Forward,,,,
63,20,Habib DialloH. DialloCentre-Forward,Habib Diallo,"Jun 18, 1995 (26)",,€12.00m
64,,Habib DialloH. Diallo,,,,
65,,Centre-Forward,,,,
66,9,Kévin GameiroK. GameiroCentre-Forward,Kévin Gameiro,"May 9, 1987 (35)",,€2.00m
67,,Kévin GameiroK. Gameiro,,,,
68,,Centre-Forward,,,,
69,8,Majeed WarisM. WarisCentre-Forward,Majeed Waris,"Sep 19, 1991 (30)",,€1.20m
70,,Majeed WarisM. Waris,,,,
71,,Centre-Forward,,,,
0,16.0,Alexander NübelA. NübelGoalkeeper,Alexander Nübel,"Sep 30, 1996 (25)",,€8.00m
1,,Alexander NübelA. Nübel,,,,
2,,Goalkeeper,,,,
3,1.0,Radoslaw MajeckiR. MajeckiGoalkeeper,Radoslaw Majecki,"Nov 16, 1999 (22)",,€3.00m
4,,Radoslaw MajeckiR. Majecki,,,,
5,,Goalkeeper,,,,
6,30.0,Vito MannoneV. MannoneGoalkeeper,Vito Mannone,"Mar 2, 1988 (34)",,€500Th.
7,,Vito MannoneV. Mannone,,,,
8,,Goalkeeper,,,,
9,5.0,Benoît BadiashileB. BadiashileCentre-Back,Benoît Badiashile,"Mar 26, 2001 (21)",,€30.00m
10,,Benoît BadiashileB. Badiashile,,,,
11,,Centre-Back,,,,
12,6.0,Axel DisasiA. DisasiCentre-Back,Axel Disasi,"Mar 11, 1998 (24)",,€17.00m
13,,Axel DisasiA. Disasi,,,,
14,,Centre-Back,,,,
15,3.0,Guillermo MaripánG. MaripánCentre-Back,Guillermo Maripán,"May 6, 1994 (28)",,€15.00m
16,,Guillermo MaripánG. Maripán,,,,
17,,Centre-Back,,,,
18,34.0,Chrislain MatsimaC. MatsimaCentre-Back,Chrislain Matsima,"May 15, 2002 (20)",,€5.00m
19,,Chrislain MatsimaC. Matsima,,,,
20,,Centre-Back,,,,
21,43.0,Jean MarcelinJ. MarcelinCentre-Back,Jean Marcelin,"Feb 12, 2000 (22)",,€3.00m
22,,Jean MarcelinJ. Marcelin,,,,
23,,Centre-Back,,,,
24,12.0,Caio HenriqueCaio HenriqueLeft-Back,Caio Henrique,"Jul 31, 1997 (24)",,€20.00m
25,,Caio HenriqueCaio Henrique,,,,
26,,Left-Back,,,,
27,14.0,Ismail JakobsI. JakobsLeft-Back,Ismail Jakobs,"Aug 17, 1999 (22)",,€7.00m
28,,Ismail JakobsI. Jakobs,,,,
29,,Left-Back,,,,
30,2.0,VandersonVandersonRight-Back,Vanderson,"Jun 21, 2001 (20)",,€18.00m
31,,VandersonVanderson,,,,
32,,Right-Back,,,,
33,26.0,Ruben AguilarR. AguilarRight-Back,Ruben Aguilar,"Apr 26, 1993 (29)",,€10.00m
34,,Ruben AguilarR. Aguilar,,,,
35,,Right-Back,,,,
36,19.0,Djibril SidibéD. SidibéRight-Back,Djibril Sidibé,"Jul 29, 1992 (29)",,€8.00m
37,,Djibril SidibéD. Sidibé,,,,
38,,Right-Back,,,,
39,8.0,Aurélien TchouameniA. TchouameniDefensive Midfield,Aurélien Tchouameni,"Jan 27, 2000 (22)",,€60.00m
40,,Aurélien TchouameniA. Tchouameni,,,,
41,,Defensive Midfield,,,,
42,28.0,PeléPeléDefensive Midfield,Pelé,"Sep 29, 1991 (30)",,€1.00m
43,,PeléPelé,,,,
44,,Defensive Midfield,,,,
45,22.0,Youssouf FofanaY. FofanaCentral Midfield,Youssouf Fofana,"Jan 10, 1999 (23)",,€18.00m
46,,Youssouf FofanaY. Fofana,,,,
47,,Central Midfield,,,,
48,11.0,Jean LucasJean LucasCentral Midfield,Jean Lucas,"Jun 22, 1998 (23)",,€8.00m
49,,Jean LucasJean Lucas,,,,
50,,Central Midfield,,,,
51,36.0,Eliot MatazoE. MatazoCentral Midfield,Eliot Matazo,"Feb 15, 2002 (20)",,€8.00m
52,,Eliot MatazoE. Matazo,,,,
53,,Central Midfield,,,,
54,4.0,Cesc FàbregasC. FàbregasCentral Midfield,Cesc Fàbregas,"May 4, 1987 (35)",,€2.50m
55,,Cesc FàbregasC. Fàbregas,,,,
56,,Central Midfield,,,,
57,33.0,Félix LemaréchalF. LemaréchalCentral Midfield,Félix Lemaréchal,"Aug 7, 2003 (18)",,€600Th.
58,,Félix LemaréchalF. Lemaréchal,,,,
59,,Central Midfield,,,,
60,17.0,Aleksandr GolovinA. GolovinAttacking Midfield,Aleksandr Golovin,"May 30, 1996 (26)",,€25.00m
61,,Aleksandr GolovinA. Golovin,,,,
62,,Attacking Midfield,,,,
63,33.0,Maghnes AklioucheM. AklioucheAttacking Midfield,Maghnes Akliouche,"Feb 25, 2002 (20)",,€1.00m
64,,Maghnes AklioucheM. Akliouche,,,,
65,,Attacking Midfield,,,,
66,37.0,Sofiane DiopS. DiopLeft Winger,Sofiane Diop,"Jun 9, 2000 (21)",,€20.00m
67,,Sofiane DiopS. Diop,,,,
68,,Left Winger,,,,
69,7.0,Gelson MartinsG. MartinsRight Winger,Gelson Martins,"May 11, 1995 (27)",,€15.00m
70,,Gelson MartinsG. Martins,,,,
71,,Right Winger,,,,
72,27.0,Krépin DiattaK. Diatta Right Winger,Krépin Diatta,"Feb 25, 1999 (23)",,€13.00m
73,,Krépin DiattaK. Diatta,,,,
74,,Right Winger,,,,
75,31.0,Kevin VollandK. VollandSecond Striker,Kevin Volland,"Jul 30, 1992 (29)",,€22.00m
76,,Kevin VollandK. Volland,,,,
77,,Second Striker,,,,
78,10.0,Wissam Ben YedderW. Ben Yedder Centre-Forward,Wissam Ben Yedder,"Aug 12, 1990 (31)",,€25.00m
79,,Wissam Ben YedderW. Ben Yedder,,,,
80,,Centre-Forward,,,,
81,9.0,Myron BoaduM. BoaduCentre-Forward,Myron Boadu,"Jan 14, 2001 (21)",,€14.00m
82,,Myron BoaduM. Boadu,,,,
83,,Centre-Forward,,,,
84,41.0,Eric AyiahE. AyiahCentre-Forward,Eric Ayiah,"Mar 6, 2000 (22)",,€150Th.
85,,Eric AyiahE. Ayiah,,,,
86,,Centre-Forward,,,,
0,16.0,Pau LópezP. LópezGoalkeeper,Pau López,"Dec 13, 1994 (27)",,€12.00m
1,,Pau LópezP. López,,,,
2,,Goalkeeper,,,,
3,30.0,Steve MandandaS. Mandanda Goalkeeper,Steve Mandanda,"Mar 28, 1985 (37)",,€1.50m
4,,Steve MandandaS. Mandanda,,,,
5,,Goalkeeper,,,,
6,1.0,Simon NgapandouetnbuS. NgapandouetnbuGoalkeeper,Simon Ngapandouetnbu,"Apr 12, 2003 (19)",,€400Th.
7,,Simon NgapandouetnbuS. Ngapandouetnbu,,,,
8,,Goalkeeper,,,,
9,2.0,William SalibaW. SalibaCentre-Back,William Saliba,"Mar 24, 2001 (21)",,€30.00m
10,,William SalibaW. Saliba,,,,
11,,Centre-Back,,,,
12,15.0,Duje Caleta-CarD. Caleta-CarCentre-Back,Duje Caleta-Car,"Sep 17, 1996 (25)",,€16.00m
13,,Duje Caleta-CarD. Caleta-Car,,,,
14,,Centre-Back,,,,
