,#,player,Unnamed: 2,Date of birth / Age,Nat.,Market value
34,,CasemiroCasemiro,,,,
35,,Defensive Midfield,,,,
36,15.0,Federico ValverdeF. ValverdeCentral Midfield,Federico Valverde,"Jul 22, 1998 (23)",,€70.00m
37,,Federico ValverdeF. Valverde,,,,
38,,Central Midfield,,,,
39,25.0,Eduardo CamavingaE. CamavingaCentral Midfield,Eduardo Camavinga,"Nov 10, 2002 (19)",,€55.00m
40,,Eduardo CamavingaE. Camavinga,,,,
41,,Central Midfield,,,,
42,8.0,Toni KroosT. KroosCentral Midfield,Toni Kroos,"Jan 4, 1990 (32)",,€20.00m
43,,Toni KroosT. Kroos,,,,
44,,Central Midfield,,,,
45,19.0,Dani CeballosD. CeballosCentral Midfield,Dani Ceballos,"Aug 7, 1996 (25)",,€14.00m
46,,Dani CeballosD. Ceballos,,,,
47,,Central Midfield,,,,
48,10.0,Luka ModricL. ModricCentral Midfield,Luka Modric,"Sep 9, 1985 (36)",,€10.00m
49,,Luka ModricL. Modric,,,,
50,,Central Midfield,,,,
51,22.0,IscoIscoAttacking Midfield,Isco,"Apr 21, 1992 (30)",,€7.50m
52,,IscoIsco,,,,
53,,Attacking Midfield,,,,
54,20.0,Vinicius JuniorVinicius JuniorLeft Winger,Vinicius Junior,"Jul 12, 2000 (21)",,€100.00m
55,,Vinicius JuniorVinicius Junior,,,,
56,,Left Winger,,,,
57,7.0,Eden HazardE. HazardLeft Winger,Eden Hazard,"Jan 7, 1991 (31)",,€12.00m
58,,Eden HazardE. Hazard,,,,
59,,Left Winger,,,,
60,21.0,RodrygoRodrygoRight Winger,Rodrygo,"Jan 9, 2001 (21)",,€60.00m
61,,RodrygoRodrygo,,,,
62,,Right Winger,,,,
63,11.0,Marco AsensioM. AsensioRight Winger,Marco Asensio,"Jan 21, 1996 (26)",,€40.00m
64,,Marco AsensioM. Asensio,,,,
65,,Right Winger,,,,
66,18.0,Gareth BaleG. BaleRight Winger,Gareth Bale,"Jul 16, 1989 (32)",,€3.00m
67,,Gareth BaleG. Bale,,,,
68,,Right Winger,,,,
69,9.0,Karim BenzemaK. BenzemaCentre-Forward,Karim Benzema,"Dec 19, 1987 (34)",,€30.00m
70,,Karim BenzemaK. Benzema,,,,
71,,Centre-Forward,,,,
72,16.0,Luka JovićL. JovićCentre-Forward,Luka Jović,"Dec 23, 1997 (24)",,€16.00m
73,,Luka JovićL. Jović,,,,
74,,Centre-Forward,,,,
75,24.0,Mariano DíazM. DíazCentre-Forward,Mariano Díaz,"Aug 1, 1993 (28)",,€6.00m
76,,Mariano DíazM. Díaz,,,,
77,,Centre-Forward,,,,
0,1,Marc-André ter StegenM. ter StegenGoalkeeper,Marc-André ter Stegen,"Apr 30, 1992 (30)",,€30.00m
1,,Marc-André ter StegenM. ter Stegen,,,,
2,,Goalkeeper,,,,
3,13,NetoNetoGoalkeeper,Neto,"Jul 19, 1989 (32)",,€3.00m
4,,NetoNeto,,,,
5,,Goalkeeper,,,,
6,36,Arnau TenasA. TenasGoalkeeper,Arnau Tenas,"May 30, 2001 (21)",,€1.50m
7,,Arnau TenasA. Tenas,,,,
8,,Goalkeeper,,,,
9,4,Ronald AraújoR. AraújoCentre-Back,Ronald Araújo,"Mar 7, 1999 (23)",,€50.00m
10,,Ronald AraújoR. Araújo,,,,
11,,Centre-Back,,,,
12,24,Eric GarcíaE. GarcíaCentre-Back,Eric García,"Jan 9, 2001 (21)",,€18.00m
13,,Eric GarcíaE. García,,,,
14,,Centre-Back,,,,
15,15,Clément LengletC. LengletCentre-Back,Clément Lenglet,"Jun 17, 1995 (26)",,€12.00m
16,,Clément LengletC. Lenglet,,,,
17,,Centre-Back,,,,
18,22,Óscar MinguezaÓ. MinguezaCentre-Back,Óscar Mingueza,"May 13, 1999 (23)",,€6.00m
19,,Óscar MinguezaÓ. Mingueza,,,,
20,,Centre-Back,,,,
21,3,Gerard PiquéG. PiquéCentre-Back,Gerard Piqué,"Feb 2, 1987 (35)",,€5.00m
22,,Gerard PiquéG. Piqué,,,,
23,,Centre-Back,,,,
24,23,Samuel UmtitiS. UmtitiCentre-Back,Samuel Umtiti,"Nov 14, 1993 (28)",,€2.00m
25,,Samuel UmtitiS. Umtiti,,,,
26,,Centre-Back,,,,
27,18,Jordi AlbaJ. AlbaLeft-Back,Jordi Alba,"Mar 21, 1989 (33)",,€9.00m
28,,Jordi AlbaJ. Alba,,,,
29,,Left-Back,,,,
30,31,Álex BaldeÁ. BaldeLeft-Back,Álex Balde,"Oct 18, 2003 (18)",,€4.00m
31,,Álex BaldeÁ. Balde,,,,
32,,Left-Back,,,,
33,2,Sergiño DestS. DestRight-Back,Sergiño Dest,"Nov 3, 2000 (21)",,€18.00m
34,,Sergiño DestS. Dest,,,,
35,,Right-Back,,,,
36,-,Moussa WaguéM. WaguéRight-Back,Moussa Wagué,"Oct 4, 1998 (23)",,€1.50m
37,,Moussa WaguéM. Wagué,,,,
38,,Right-Back,,,,
39,8,Dani AlvesDani AlvesRight-Back,Dani Alves,"May 6, 1983 (39)",,€1.00m
40,,Dani AlvesDani Alves,,,,
41,,Right-Back,,,,
42,5,Sergio BusquetsS. Busquets Defensive Midfield,Sergio Busquets,"Jul 16, 1988 (33)",,€9.00m
43,,Sergio BusquetsS. Busquets,,,,
44,,Defensive Midfield,,,,
45,16,PedriPedri Central Midfield,Pedri,"Nov 25, 2002 (19)",,€80.00m
46,,PedriPedri,,,,
47,,Central Midfield,,,,
48,21,Frenkie de JongF. de JongCentral Midfield,Frenkie de Jong,"May 12, 1997 (25)",,€60.00m
49,,Frenkie de JongF. de Jong,,,,
50,,Central Midfield,,,,
51,30,GaviGaviCentral Midfield,Gavi,"Aug 5, 2004 (17)",,€60.00m
52,,GaviGavi,,,,
53,,Central Midfield,,,,
54,14,Nico GonzálezN. GonzálezCentral Midfield,Nico González,"Jan 3, 2002 (20)",,€20.00m
55,,Nico GonzálezN. González,,,,
56,,Central Midfield,,,,
57,6,Riqui PuigR. PuigCentral Midfield,Riqui Puig,"Aug 13, 1999 (22)",,€7.00m
58,,Riqui PuigR. Puig,,,,
59,,Central Midfield,,,,
60,20,Sergi RobertoS. Roberto Central Midfield,Sergi Roberto,"Feb 7, 1992 (30)",,€6.00m
61,,Sergi RobertoS. Roberto,,,,
62,,Central Midfield,,,,
63,10,Ansu FatiAnsu FatiLeft Winger,Ansu Fati,"Oct 31, 2002 (19)",,€60.00m
64,,Ansu FatiAnsu Fati,,,,
65,,Left Winger,,,,
66,19,Ferran TorresF. TorresLeft Winger,Ferran Torres,"Feb 29, 2000 (22)",,€45.00m
67,,Ferran TorresF. Torres,,,,
68,,Left Winger,,,,
69,33,Ez AbdeEz AbdeLeft Winger,Ez Abde,"Dec 17, 2001 (20)",,€8.00m
70,,Ez AbdeEz Abde,,,,
71,,Left Winger,,,,
72,7,Ousmane DembéléO. DembéléRight Winger,Ousmane Dembélé,"May 15, 1997 (25)",,€30.00m
73,,Ousmane DembéléO. Dembélé,,,,
74,,Right Winger,,,,
75,11,Adama TraoréA. TraoréRight Winger,Adama Traoré,"Jan 25, 1996 (26)",,€20.00m
76,,Adama TraoréA. Traoré,,,,
77,,Right Winger,,,,
78,9,Memphis DepayM. DepayCentre-Forward,Memphis Depay,"Feb 13, 1994 (28)",,€35.00m
79,,Memphis DepayM. Depay,,,,
80,,Centre-Forward,,,,
81,25,Pierre-Emerick AubameyangP. AubameyangCentre-Forward,Pierre-Emerick Aubameyang,"Jun 18, 1989 (32)",,€15.00m
82,,Pierre-Emerick AubameyangP. Aubameyang,,,,
83,,Centre-Forward,,,,
84,12,Martin BraithwaiteM. BraithwaiteCentre-Forward,Martin Braithwaite,"Jun 5, 1991 (31)",,€6.00m
85,,Martin BraithwaiteM. Braithwaite,,,,
86,,Centre-Forward,,,,
87,17,Luuk de JongL. de JongCentre-Forward,Luuk de Jong,"Aug 27, 1990 (31)",,€4.00m
88,,Luuk de JongL. de Jong,,,,
89,,Centre-Forward,,,,
0,13.0,Rui SilvaRui SilvaGoalkeeper,Rui Silva,"Feb 7, 1994 (28)",,€15.00m
1,,Rui SilvaRui Silva,,,,
2,,Goalkeeper,,,,
3,1.0,Joel RoblesJ. RoblesGoalkeeper,Joel Robles,"Jun 17, 1990 (31)",,€1.50m
4,,Joel RoblesJ. Robles,,,,
5,,Goalkeeper,,,,
6,25.0,Claudio BravoC. BravoGoalkeeper,Claudio Bravo,"Apr 13, 1983 (39)",,€1.00m
7,,Claudio BravoC. Bravo,,,,
8,,Goalkeeper,,,,
9,3.0,Edgar GonzálezE. GonzálezCentre-Back,Edgar González,"Apr 1, 1997 (25)",,€6.00m
10,,Edgar GonzálezE. González,,,,
11,,Centre-Back,,,,
12,5.0,Marc BartraM. BartraCentre-Back,Marc Bartra,"Jan 15, 1991 (31)",,€6.00m
13,,Marc BartraM. Bartra,,,,
14,,Centre-Back,,,,
15,16.0,Germán PezzellaG. PezzellaCentre-Back,Germán Pezzella,"Jun 27, 1991 (30)",,€5.00m
16,,Germán PezzellaG. Pezzella,,,,
17,,Centre-Back,,,,
18,6.0,Víctor RuizV. RuizCentre-Back,Víctor Ruiz,"Jan 25, 1989 (33)",,€1.50m
19,,Víctor RuizV. Ruiz,,,,
20,,Centre-Back,,,,
21,15.0,Álex MorenoÁ. MorenoLeft-Back,Álex Moreno,"Jun 8, 1993 (28)",,€18.00m
22,,Álex MorenoÁ. Moreno,,,,
23,,Left-Back,,,,
24,33.0,Juan MirandaJ. MirandaLeft-Back,Juan Miranda,"Jan 19, 2000 (22)",,€5.00m
25,,Juan MirandaJ. Miranda,,,,
26,,Left-Back,,,,
27,19.0,Héctor BellerínH. BellerínRight-Back,Héctor Bellerín,"Mar 19, 1995 (27)",,€20.00m
28,,Héctor BellerínH. Bellerín,,,,
29,,Right-Back,,,,
30,23.0,Youssouf SabalyY. SabalyRight-Back,Youssouf Sabaly,"Mar 5, 1993 (29)",,€3.00m
31,,Youssouf SabalyY. Sabaly,,,,
32,,Right-Back,,,,
33,2.0,Martín MontoyaM. Montoya Right-Back,Martín Montoya,"Apr 14, 1991 (31)",,€1.50m
34,,Martín MontoyaM. Montoya,,,,
35,,Right-Back,,,,
36,21.0,Guido RodríguezG. RodríguezDefensive Midfield,Guido Rodríguez,"Apr 12, 1994 (28)",,€25.00m
37,,Guido RodríguezG. Rodríguez,,,,
38,,Defensive Midfield,,,,
39,14.0,William CarvalhoW. CarvalhoDefensive Midfield,William Carvalho,"Apr 7, 1992 (30)",,€16.00m
40,,William CarvalhoW. Carvalho,,,,
41,,Defensive Midfield,,,,
42,4.0,Paul AkouokouP. AkouokouDefensive Midfield,Paul Akouokou,"Dec 20, 1997 (24)",,€4.00m
43,,Paul AkouokouP. Akouokou,,,,
44,,Defensive Midfield,,,,
45,18.0,Andrés GuardadoA. GuardadoCentral Midfield,Andrés Guardado,"Sep 28, 1986 (35)",,€1.50m
46,,Andrés GuardadoA. Guardado,,,,
47,,Central Midfield,,,,
48,22.0,Víctor CamarasaV. CamarasaCentral Midfield,Víctor Camarasa,"May 28, 1994 (28)",,€1.00m
49,,Víctor CamarasaV. Camarasa,,,,
50,,Central Midfield,,,,
51,8.0,Nabil FekirN. FekirAttacking Midfield,Nabil Fekir,"Jul 18, 1993 (28)",,€40.00m
52,,Nabil FekirN. Fekir,,,,
53,,Attacking Midfield,,,,
54,10.0,Sergio CanalesS. CanalesAttacking Midfield,Sergio Canales,"Feb 16, 1991 (31)",,€20.00m
55,,Sergio CanalesS. Canales,,,,
56,,Attacking Midfield,,,,
57,28.0,Rodri SánchezR. SánchezAttacking Midfield,Rodri Sánchez,"Feb 16, 2000 (22)",,€4.00m
58,,Rodri SánchezR. Sánchez,,,,
59,,Attacking Midfield,,,,
60,7.0,JuanmiJuanmiLeft Winger,Juanmi,"May 20, 1993 (29)",,€15.00m
61,,JuanmiJuanmi,,,,
62,,Left Winger,,,,
63,11.0,Cristian TelloC. TelloLeft Winger,Cristian Tello,"Aug 11, 1991 (30)",,€5.00m
64,,Cristian TelloC. Tello,,,,
65,,Left Winger,,,,
66,24.0,Aitor RuibalA. RuibalRight Winger,Aitor Ruibal,"Mar 22, 1996 (26)",,€3.00m
67,,Aitor RuibalA. Ruibal,,,,
68,,Right Winger,,,,
69,20.0,Diego LainezD. LainezRight Winger,Diego Lainez,"Jun 9, 2000 (21)",,€2.50m
70,,Diego LainezD. Lainez,,,,
71,,Right Winger,,,,
72,17.0,JoaquínJoaquín Right Winger,Joaquín,"Jul 21, 1981 (40)",,€1.50m
73,,JoaquínJoaquín,,,,
74,,Right Winger,,,,
75,9.0,Borja IglesiasB. IglesiasCentre-Forward,Borja Iglesias,"Jan 17, 1993 (29)",,€15.00m
76,,Borja IglesiasB. Iglesias,,,,
77,,Centre-Forward,,,,
78,12.0,Willian JoséWillian JoséCentre-Forward,Willian José,"Nov 23, 1991 (30)",,€12.00m
79,,Willian JoséWillian José,,,,
80,,Centre-Forward,,,,
0,13.0,Gerónimo RulliG. RulliGoalkeeper,Gerónimo Rulli,"May 20, 1992 (30)",,€6.00m
1,,Gerónimo RulliG. Rulli,,,,
2,,Goalkeeper,,,,
3,1.0,Sergio AsenjoS. AsenjoGoalkeeper,Sergio Asenjo,"Jun 28, 1989 (32)",,€4.00m
4,,Sergio AsenjoS. Asenjo,,,,
5,,Goalkeeper,,,,
6,4.0,Pau TorresP. TorresCentre-Back,Pau Torres,"Jan 16, 1997 (25)",,€50.00m
7,,Pau TorresP. Torres,,,,
8,,Centre-Back,,,,
9,22.0,Aïssa MandiA. MandiCentre-Back,Aïssa Mandi,"Oct 22, 1991 (30)",,€6.00m
10,,Aïssa MandiA. Mandi,,,,
11,,Centre-Back,,,,
12,3.0,Raúl AlbiolR. AlbiolCentre-Back,Raúl Albiol,"Sep 4, 1985 (36)",,€3.00m
13,,Raúl AlbiolR. Albiol,,,,
14,,Centre-Back,,,,
15,12.0,Pervis EstupiñánP. EstupiñánLeft-Back,Pervis Estupiñán,"Jan 21, 1998 (24)",,€20.00m
16,,Pervis EstupiñánP. Estupiñán,,,,
17,,Left-Back,,,,
18,24.0,Alfonso PedrazaA. PedrazaLeft-Back,Alfonso Pedraza,"Apr 9, 1996 (26)",,€18.00m
19,,Alfonso PedrazaA. Pedraza,,,,
20,,Left-Back,,,,
21,18.0,Alberto MorenoA. Moreno Left-Back,Alberto Moreno,"Jul 5, 1992 (29)",,€5.00m
22,,Alberto MorenoA. Moreno,,,,
23,,Left-Back,,,,
24,8.0,Juan FoythJ. FoythRight-Back,Juan Foyth,"Jan 12, 1998 (24)",,€25.00m
25,,Juan FoythJ. Foyth,,,,
26,,Right-Back,,,,
27,25.0,Serge AurierS. AurierRight-Back,Serge Aurier,"Dec 24, 1992 (29)",,€10.00m
28,,Serge AurierS. Aurier,,,,
29,,Right-Back,,,,
30,2.0,Mario GasparM. Gaspar Right-Back,Mario Gaspar,"Nov 24, 1990 (31)",,€3.00m
31,,Mario GasparM. Gaspar,,,,
32,,Right-Back,,,,
33,20.0,Rubén PeñaR. PeñaRight-Back,Rubén Peña,"Jul 18, 1991 (30)",,€2.50m
34,,Rubén PeñaR. Peña,,,,
35,,Right-Back,,,,
36,19.0,Francis CoquelinF. CoquelinDefensive Midfield,Francis Coquelin,"May 13, 1991 (31)",,€5.00m
37,,Francis CoquelinF. Coquelin,,,,
38,,Defensive Midfield,,,,
39,6.0,Étienne CapoueÉ. Capoue Defensive Midfield,Étienne Capoue,"Jul 11, 1988 (33)",,€3.00m
40,,Étienne CapoueÉ. Capoue,,,,
41,,Defensive Midfield,,,,
42,17.0,Giovani Lo CelsoG. Lo CelsoCentral Midfield,Giovani Lo Celso,"Apr 9, 1996 (26)",,€22.00m
43,,Giovani Lo CelsoG. Lo Celso,,,,
44,,Central Midfield,,,,
45,14.0,Manu TriguerosM. TriguerosCentral Midfield,Manu Trigueros,"Oct 17, 1991 (30)",,€14.00m
46,,Manu TriguerosM. Trigueros,,,,
47,,Central Midfield,,,,
48,5.0,Dani ParejoD. ParejoCentral Midfield,Dani Parejo,"Apr 16, 1989 (33)",,€9.00m
49,,Dani ParejoD. Parejo,,,,
50,,Central Midfield,,,,
51,10.0,Vicente IborraV. IborraCentral Midfield,Vicente Iborra,"Jan 16, 1988 (34)",,€2.00m
52,,Vicente IborraV. Iborra,,,,
53,,Central Midfield,,,,
54,23.0,Moi GómezM. GómezLeft Winger,Moi Gómez,"Jun 23, 1994 (27)",,€8.00m
55,,Moi GómezM. Gómez,,,,
56,,Left Winger,,,,
57,21.0,Yéremy PinoY. PinoRight Winger,Yéremy Pino,"Oct 20, 2002 (19)",,€40.00m
58,,Yéremy PinoY. Pino,,,,
59,,Right Winger,,,,
60,11.0,Samuel ChukwuezeS. ChukwuezeRight Winger,Samuel Chukwueze,"May 22, 1999 (23)",,€20.00m
61,,Samuel ChukwuezeS. Chukwueze,,,,
62,,Right Winger,,,,
63,15.0,Arnaut DanjumaA. Danjuma Centre-Forward,Arnaut Danjuma,"Jan 31, 1997 (25)",,€50.00m
64,,Arnaut DanjumaA. Danjuma,,,,
65,,Centre-Forward,,,,
66,7.0,Gerard MorenoG. MorenoCentre-Forward,Gerard Moreno,"Apr 7, 1992 (30)",,€40.00m
67,,Gerard MorenoG. Moreno,,,,
68,,Centre-Forward,,,,
69,16.0,Boulaye DiaB. DiaCentre-Forward,Boulaye Dia,"Nov 16, 1996 (25)",,€12.00m
70,,Boulaye DiaB. Dia,,,,
71,,Centre-Forward,,,,
72,9.0,Paco AlcácerP. AlcácerCentre-Forward,Paco Alcácer,"Aug 30, 1993 (28)",,€9.00m
73,,Paco AlcácerP. Alcácer,,,,
74,,Centre-Forward,,,,
0,13.0,Jan OblakJan OblakGoalkeeper,Jan Oblak,"Jan 7, 1993 (29)",,€45.00m
1,,Jan OblakJan Oblak,,,,
2,,Goalkeeper,,,,
3,1.0,Benjamin LecomteB. LecomteGoalkeeper,Benjamin Lecomte,"Apr 26, 1991 (31)",,€5.00m
4,,Benjamin LecomteB. Lecomte,,,,
5,,Goalkeeper,,,,
6,2.0,José María GiménezJ. GiménezCentre-Back,José María Giménez,"Jan 20, 1995 (27)",,€50.00m
7,,José María GiménezJ. Giménez,,,,
8,,Centre-Back,,,,
9,22.0,Mario HermosoM. HermosoCentre-Back,Mario Hermoso,"Jun 18, 1995 (26)",,€20.00m
10,,Mario HermosoM. Hermoso,,,,
11,,Centre-Back,,,,
12,15.0,Stefan SavicS. SavicCentre-Back,Stefan Savic,"Jan 8, 1991 (31)",,€16.00m
13,,Stefan SavicS. Savic,,,,
14,,Centre-Back,,,,
15,18.0,FelipeFelipe Centre-Back,Felipe,"May 16, 1989 (33)",,€6.00m
16,,FelipeFelipe,,,,
17,,Centre-Back,,,,
18,12.0,Renan LodiR. LodiLeft-Back,Renan Lodi,"Apr 8, 1998 (24)",,€30.00m
19,,Renan LodiR. Lodi,,,,
20,,Left-Back,,,,
21,23.0,Reinildo MandavaR. MandavaLeft-Back,Reinildo Mandava,"Jan 21, 1994 (28)",,€22.00m
22,,Reinildo MandavaR. Mandava,,,,
23,,Left-Back,,,,
24,24.0,Sime VrsaljkoS. VrsaljkoRight-Back,Sime Vrsaljko,"Jan 10, 1992 (30)",,€5.00m
25,,Sime VrsaljkoS. Vrsaljko,,,,
26,,Right-Back,,,,
27,4.0,Geoffrey KondogbiaG. KondogbiaDefensive Midfield,Geoffrey Kondogbia,"Feb 15, 1993 (29)",,€20.00m
28,,Geoffrey KondogbiaG. Kondogbia,,,,
29,,Defensive Midfield,,,,
30,14.0,Marcos LlorenteM. LlorenteCentral Midfield,Marcos Llorente,"Jan 30, 1995 (27)",,€45.00m
31,,Marcos LlorenteM. Llorente,,,,
32,,Central Midfield,,,,
33,5.0,Rodrigo de PaulR. de PaulCentral Midfield,Rodrigo de Paul,"May 24, 1994 (28)",,€40.00m
34,,Rodrigo de PaulR. de Paul,,,,
35,,Central Midfield,,,,
36,6.0,KokeKoke Central Midfield,Koke,"Jan 8, 1992 (30)",,€25.00m
37,,KokeKoke,,,,
38,,Central Midfield,,,,
39,17.0,Daniel WassD. WassCentral Midfield,Daniel Wass,"May 31, 1989 (33)",,€6.00m
40,,Daniel WassD. Wass,,,,
41,,Central Midfield,,,,
42,16.0,Héctor HerreraH. HerreraCentral Midfield,Héctor Herrera,"Apr 19, 1990 (32)",,€5.00m
43,,Héctor HerreraH. Herrera,,,,
44,,Central Midfield,,,,
45,11.0,Thomas LemarT. LemarAttacking Midfield,Thomas Lemar,"Nov 12, 1995 (26)",,€40.00m
46,,Thomas LemarT. Lemar,,,,
47,,Attacking Midfield,,,,
48,21.0,Yannick CarrascoY. CarrascoLeft Winger,Yannick Carrasco,"Sep 4, 1993 (28)",,€40.00m
49,,Yannick CarrascoY. Carrasco,,,,
50,,Left Winger,,,,
51,7.0,João FélixJoão Félix Second Striker,João Félix,"Nov 10, 1999 (22)",,€70.00m
52,,João FélixJoão Félix,,,,
53,,Second Striker,,,,
54,10.0,Ángel CorreaÁ. CorreaSecond Striker,Ángel Correa,"Mar 9, 1995 (27)",,€45.00m
55,,Ángel CorreaÁ. Correa,,,,
56,,Second Striker,,,,
57,8.0,Antoine GriezmannA. GriezmannSecond Striker,Antoine Griezmann,"Mar 21, 1991 (31)",,€35.00m
58,,Antoine GriezmannA. Griezmann,,,,
59,,Second Striker,,,,
60,19.0,Matheus CunhaMatheus CunhaCentre-Forward,Matheus Cunha,"May 27, 1999 (23)",,€30.00m
61,,Matheus CunhaMatheus Cunha,,,,
62,,Centre-Forward,,,,
63,9.0,Luis SuárezL. SuárezCentre-Forward,Luis Suárez,"Jan 24, 1987 (35)",,€8.00m
64,,Luis SuárezL. Suárez,,,,
65,,Centre-Forward,,,,
0,13.0,BonoBonoGoalkeeper,Bono,"Apr 5, 1991 (31)",,€18.00m
1,,BonoBono,,,,
2,,Goalkeeper,,,,
3,1.0,Marko DmitrovićM. DmitrovićGoalkeeper,Marko Dmitrović,"Jan 24, 1992 (30)",,€5.00m
4,,Marko DmitrovićM. Dmitrović,,,,
5,,Goalkeeper,,,,
6,31.0,Javi DíazJ. DíazGoalkeeper,Javi Díaz,"May 15, 1997 (25)",,€500Th.
7,,Javi DíazJ. Díaz,,,,
8,,Goalkeeper,,,,
9,23.0,Jules KoundéJ. KoundéCentre-Back,Jules Koundé,"Nov 12, 1998 (23)",,€60.00m
10,,Jules KoundéJ. Koundé,,,,
11,,Centre-Back,,,,
12,20.0,Diego CarlosDiego CarlosCentre-Back,Diego Carlos,"Mar 15, 1993 (29)",,€40.00m
13,,Diego CarlosDiego Carlos,,,,
14,,Centre-Back,,,,
15,4.0,Karim RekikK. RekikCentre-Back,Karim Rekik,"Dec 2, 1994 (27)",,€5.00m
16,,Karim RekikK. Rekik,,,,
17,,Centre-Back,,,,
18,19.0,Marcos AcuñaM. AcuñaLeft-Back,Marcos Acuña,"Oct 28, 1991 (30)",,€18.00m
19,,Marcos AcuñaM. Acuña,,,,
20,,Left-Back,,,,
21,3.0,Ludwig AugustinssonL. AugustinssonLeft-Back,Ludwig Augustinsson,"Apr 21, 1994 (28)",,€5.00m
22,,Ludwig AugustinssonL. Augustinsson,,,,
23,,Left-Back,,,,
24,2.0,Gonzalo MontielG. MontielRight-Back,Gonzalo Montiel,"Jan 1, 1997 (25)",,€14.00m
25,,Gonzalo MontielG. Montiel,,,,
26,,Right-Back,,,,
27,16.0,Jesús NavasJ. Navas Right-Back,Jesús Navas,"Nov 21, 1985 (36)",,€3.00m
28,,Jesús NavasJ. Navas,,,,
29,,Right-Back,,,,
30,18.0,Thomas DelaneyT. DelaneyDefensive Midfield,Thomas Delaney,"Sep 3, 1991 (30)",,€7.00m
31,,Thomas DelaneyT. Delaney,,,,
32,,Defensive Midfield,,,,
33,6.0,Nemanja GudeljN. GudeljDefensive Midfield,Nemanja Gudelj,"Nov 16, 1991 (30)",,€4.00m
34,,Nemanja GudeljN. Gudelj,,,,
35,,Defensive Midfield,,,,
36,25.0,FernandoFernando Defensive Midfield,Fernando,"Jul 25, 1987 (34)",,€4.00m
37,,FernandoFernando,,,,
38,,Defensive Midfield,,,,
39,8.0,Joan JordánJ. JordánCentral Midfield,Joan Jordán,"Jul 6, 1994 (27)",,€22.00m
40,,Joan JordánJ. Jordán,,,,
41,,Central Midfield,,,,
42,21.0,Óliver TorresÓ. TorresCentral Midfield,Óliver Torres,"Nov 10, 1994 (27)",,€8.00m
43,,Óliver TorresÓ. Torres,,,,
44,,Central Midfield,,,,
45,10.0,Ivan RakiticI. RakiticCentral Midfield,Ivan Rakitic,"Mar 10, 1988 (34)",,€7.00m
46,,Ivan RakiticI. Rakitic,,,,
47,,Central Midfield,,,,
48,24.0,Papu GómezPapu GómezAttacking Midfield,Papu Gómez,"Feb 15, 1988 (34)",,€6.00m
49,,Papu GómezPapu Gómez,,,,
50,,Attacking Midfield,,,,
51,5.0,Lucas OcamposL. OcamposLeft Winger,Lucas Ocampos,"Jul 11, 1994 (27)",,€25.00m
52,,Lucas OcamposL. Ocampos,,,,
53,,Left Winger,,,,
54,9.0,TecatitoTecatitoRight Winger,Tecatito,"Jan 6, 1993 (29)",,€18.00m
55,,TecatitoTecatito,,,,
56,,Right Winger,,,,
57,17.0,Erik LamelaE. LamelaRight Winger,Erik Lamela,"Mar 4, 1992 (30)",,€16.00m
58,,Erik LamelaE. Lamela,,,,
59,,Right Winger,,,,
60,7.0,SusoSusoRight Winger,Suso,"Nov 19, 1993 (28)",,€10.00m
61,,SusoSuso,,,,
