,#,player,Unnamed: 2,Date of birth / Age,Nat.,Market value
31,,Danilo D'AmbrosioD. D'Ambrosio,,,,
32,,Right-Back,,,,
33,77.0,Marcelo BrozovicM. BrozovicDefensive Midfield,Marcelo Brozovic,"Nov 16, 1992 (29)",,€40.00m
34,,Marcelo BrozovicM. Brozovic,,,,
35,,Defensive Midfield,,,,
36,23.0,Nicolò BarellaN. BarellaCentral Midfield,Nicolò Barella,"Feb 7, 1997 (25)",,€70.00m
37,,Nicolò BarellaN. Barella,,,,
38,,Central Midfield,,,,
39,20.0,Hakan CalhanogluH. CalhanogluCentral Midfield,Hakan Calhanoglu,"Feb 8, 1994 (28)",,€35.00m
40,,Hakan CalhanogluH. Calhanoglu,,,,
41,,Central Midfield,,,,
42,5.0,Roberto GagliardiniR. GagliardiniCentral Midfield,Roberto Gagliardini,"Apr 7, 1994 (28)",,€10.00m
43,,Roberto GagliardiniR. Gagliardini,,,,
44,,Central Midfield,,,,
45,8.0,Matías VecinoM. VecinoCentral Midfield,Matías Vecino,"Aug 24, 1991 (30)",,€5.00m
46,,Matías VecinoM. Vecino,,,,
47,,Central Midfield,,,,
48,22.0,Arturo VidalA. VidalCentral Midfield,Arturo Vidal,"May 22, 1987 (35)",,€2.50m
49,,Arturo VidalA. Vidal,,,,
50,,Central Midfield,,,,
51,2.0,Denzel DumfriesD. DumfriesRight Midfield,Denzel Dumfries,"Apr 18, 1996 (26)",,€20.00m
52,,Denzel DumfriesD. Dumfries,,,,
53,,Right Midfield,,,,
54,18.0,Robin GosensR. GosensLeft Midfield,Robin Gosens,"Jul 5, 1994 (27)",,€35.00m
55,,Robin GosensR. Gosens,,,,
56,,Left Midfield,,,,
57,14.0,Ivan PerisicI. Perisic Left Midfield,Ivan Perisic,"Feb 2, 1989 (33)",,€10.00m
58,,Ivan PerisicI. Perisic,,,,
59,,Left Midfield,,,,
60,19.0,Joaquín CorreaJ. CorreaSecond Striker,Joaquín Correa,"Aug 13, 1994 (27)",,€26.00m
61,,Joaquín CorreaJ. Correa,,,,
62,,Second Striker,,,,
63,10.0,Lautaro MartínezL. MartínezCentre-Forward,Lautaro Martínez,"Aug 22, 1997 (24)",,€70.00m
64,,Lautaro MartínezL. Martínez,,,,
65,,Centre-Forward,,,,
66,9.0,Edin DzekoE. DzekoCentre-Forward,Edin Dzeko,"Mar 17, 1986 (36)",,€4.00m
67,,Edin DzekoE. Dzeko,,,,
68,,Centre-Forward,,,,
69,7.0,Alexis SánchezA. Sánchez Centre-Forward,Alexis Sánchez,"Dec 19, 1988 (33)",,€3.50m
70,,Alexis SánchezA. Sánchez,,,,
71,,Centre-Forward,,,,
72,88.0,Felipe CaicedoF. CaicedoCentre-Forward,Felipe Caicedo,"Sep 5, 1988 (33)",,€2.50m
73,,Felipe CaicedoF. Caicedo,,,,
74,,Centre-Forward,,,,
0,16.0,Mike MaignanM. MaignanGoalkeeper,Mike Maignan,"Jul 3, 1995 (26)",,€25.00m
1,,Mike MaignanM. Maignan,,,,
2,,Goalkeeper,,,,
3,1.0,Ciprian TatarusanuC. TatarusanuGoalkeeper,Ciprian Tatarusanu,"Feb 9, 1986 (36)",,€600Th.
4,,Ciprian TatarusanuC. Tatarusanu,,,,
5,,Goalkeeper,,,,
6,83.0,Antonio MiranteA. MiranteGoalkeeper,Antonio Mirante,"Jul 8, 1983 (38)",,€500Th.
7,,Antonio MiranteA. Mirante,,,,
8,,Goalkeeper,,,,
9,23.0,Fikayo TomoriF. TomoriCentre-Back,Fikayo Tomori,"Dec 19, 1997 (24)",,€45.00m
10,,Fikayo TomoriF. Tomori,,,,
11,,Centre-Back,,,,
12,13.0,Alessio RomagnoliA. Romagnoli Centre-Back,Alessio Romagnoli,"Jan 12, 1995 (27)",,€20.00m
13,,Alessio RomagnoliA. Romagnoli,,,,
14,,Centre-Back,,,,
15,20.0,Pierre KaluluP. KaluluCentre-Back,Pierre Kalulu,"Jun 5, 2000 (22)",,€17.00m
16,,Pierre KaluluP. Kalulu,,,,
17,,Centre-Back,,,,
18,24.0,Simon KjaerS. KjaerCentre-Back,Simon Kjaer,"Mar 26, 1989 (33)",,€8.00m
19,,Simon KjaerS. Kjaer,,,,
20,,Centre-Back,,,,
21,46.0,Matteo GabbiaM. GabbiaCentre-Back,Matteo Gabbia,"Oct 21, 1999 (22)",,€7.00m
22,,Matteo GabbiaM. Gabbia,,,,
23,,Centre-Back,,,,
24,19.0,Theo HernándezT. HernándezLeft-Back,Theo Hernández,"Oct 6, 1997 (24)",,€48.00m
25,,Theo HernándezT. Hernández,,,,
26,,Left-Back,,,,
27,5.0,Fodé Ballo-TouréF. Ballo-TouréLeft-Back,Fodé Ballo-Touré,"Jan 3, 1997 (25)",,€5.00m
28,,Fodé Ballo-TouréF. Ballo-Touré,,,,
29,,Left-Back,,,,
30,2.0,Davide CalabriaD. CalabriaRight-Back,Davide Calabria,"Dec 6, 1996 (25)",,€25.00m
31,,Davide CalabriaD. Calabria,,,,
32,,Right-Back,,,,
33,25.0,Alessandro FlorenziA. FlorenziRight-Back,Alessandro Florenzi,"Mar 11, 1991 (31)",,€7.00m
34,,Alessandro FlorenziA. Florenzi,,,,
35,,Right-Back,,,,
36,8.0,Sandro TonaliS. TonaliDefensive Midfield,Sandro Tonali,"May 8, 2000 (22)",,€40.00m
37,,Sandro TonaliS. Tonali,,,,
38,,Defensive Midfield,,,,
39,4.0,Ismaël BennacerI. BennacerDefensive Midfield,Ismaël Bennacer,"Dec 1, 1997 (24)",,€30.00m
40,,Ismaël BennacerI. Bennacer,,,,
41,,Defensive Midfield,,,,
42,41.0,Tiemoué BakayokoT. BakayokoDefensive Midfield,Tiemoué Bakayoko,"Aug 17, 1994 (27)",,€13.00m
43,,Tiemoué BakayokoT. Bakayoko,,,,
44,,Defensive Midfield,,,,
45,79.0,Franck KessiéF. KessiéCentral Midfield,Franck Kessié,"Dec 19, 1996 (25)",,€45.00m
46,,Franck KessiéF. Kessié,,,,
47,,Central Midfield,,,,
48,33.0,Rade KrunicR. KrunicCentral Midfield,Rade Krunic,"Oct 7, 1993 (28)",,€7.50m
49,,Rade KrunicR. Krunic,,,,
50,,Central Midfield,,,,
51,10.0,Brahim DíazB. DíazAttacking Midfield,Brahim Díaz,"Aug 3, 1999 (22)",,€22.00m
52,,Brahim DíazB. Díaz,,,,
53,,Attacking Midfield,,,,
54,27.0,Daniel MaldiniD. MaldiniAttacking Midfield,Daniel Maldini,"Oct 11, 2001 (20)",,€2.00m
55,,Daniel MaldiniD. Maldini,,,,
56,,Attacking Midfield,,,,
57,17.0,Rafael LeãoR. LeãoLeft Winger,Rafael Leão,"Jun 10, 1999 (22)",,€50.00m
58,,Rafael LeãoR. Leão,,,,
59,,Left Winger,,,,
60,12.0,Ante RebicA. RebicLeft Winger,Ante Rebic,"Sep 21, 1993 (28)",,€22.00m
61,,Ante RebicA. Rebic,,,,
62,,Left Winger,,,,
63,56.0,Alexis SaelemaekersA. SaelemaekersRight Winger,Alexis Saelemaekers,"Jun 27, 1999 (22)",,€20.00m
64,,Alexis SaelemaekersA. Saelemaekers,,,,
65,,Right Winger,,,,
66,30.0,Junior MessiasJ. MessiasRight Winger,Junior Messias,"May 13, 1991 (31)",,€6.50m
67,,Junior MessiasJ. Messias,,,,
68,,Right Winger,,,,
69,7.0,Samu CastillejoS. CastillejoRight Winger,Samu Castillejo,"Jan 18, 1995 (27)",,€4.50m
70,,Samu CastillejoS. Castillejo,,,,
71,,Right Winger,,,,
72,11.0,Zlatan IbrahimovicZ. Ibrahimovic Centre-Forward,Zlatan Ibrahimovic,"Oct 3, 1981 (40)",,€4.00m
73,,Zlatan IbrahimovicZ. Ibrahimovic,,,,
74,,Centre-Forward,,,,
75,22.0,Marko LazetićM. LazetićCentre-Forward,Marko Lazetić,"Jan 22, 2004 (18)",,€3.00m
76,,Marko LazetićM. Lazetić,,,,
77,,Centre-Forward,,,,
78,9.0,Olivier GiroudO. GiroudCentre-Forward,Olivier Giroud,"Sep 30, 1986 (35)",,€2.50m
79,,Olivier GiroudO. Giroud,,,,
80,,Centre-Forward,,,,
0,1.0,Alex MeretA. MeretGoalkeeper,Alex Meret,"Mar 22, 1997 (25)",,€12.00m
1,,Alex MeretA. Meret,,,,
2,,Goalkeeper,,,,
3,25.0,David OspinaD. OspinaGoalkeeper,David Ospina,"Aug 31, 1988 (33)",,€5.00m
4,,David OspinaD. Ospina,,,,
5,,Goalkeeper,,,,
6,12.0,Davide MarfellaD. MarfellaGoalkeeper,Davide Marfella,"Sep 15, 1999 (22)",,€50Th.
7,,Davide MarfellaD. Marfella,,,,
8,,Goalkeeper,,,,
9,26.0,Kalidou KoulibalyK. KoulibalyCentre-Back,Kalidou Koulibaly,"Jun 20, 1991 (30)",,€45.00m
10,,Kalidou KoulibalyK. Koulibaly,,,,
11,,Centre-Back,,,,
12,13.0,Amir RrahmaniA. RrahmaniCentre-Back,Amir Rrahmani,"Feb 24, 1994 (28)",,€25.00m
13,,Amir RrahmaniA. Rrahmani,,,,
14,,Centre-Back,,,,
15,3.0,Axel TuanzebeA. TuanzebeCentre-Back,Axel Tuanzebe,"Nov 14, 1997 (24)",,€8.00m
16,,Axel TuanzebeA. Tuanzebe,,,,
17,,Centre-Back,,,,
18,5.0,Juan JesusJuan JesusCentre-Back,Juan Jesus,"Jun 10, 1991 (30)",,€4.00m
19,,Juan JesusJuan Jesus,,,,
20,,Centre-Back,,,,
21,6.0,Mário RuiM. RuiLeft-Back,Mário Rui,"May 27, 1991 (31)",,€8.00m
22,,Mário RuiM. Rui,,,,
23,,Left-Back,,,,
24,31.0,Faouzi GhoulamF. GhoulamLeft-Back,Faouzi Ghoulam,"Feb 1, 1991 (31)",,€1.80m
25,,Faouzi GhoulamF. Ghoulam,,,,
26,,Left-Back,,,,
27,22.0,Giovanni Di LorenzoG. Di LorenzoRight-Back,Giovanni Di Lorenzo,"Aug 4, 1993 (28)",,€25.00m
28,,Giovanni Di LorenzoG. Di Lorenzo,,,,
29,,Right-Back,,,,
30,2.0,Kévin MalcuitK. MalcuitRight-Back,Kévin Malcuit,"Jul 31, 1991 (30)",,€2.00m
31,,Kévin MalcuitK. Malcuit,,,,
32,,Right-Back,,,,
33,59.0,Alessandro ZanoliA. ZanoliRight-Back,Alessandro Zanoli,"Oct 3, 2000 (21)",,€1.00m
34,,Alessandro ZanoliA. Zanoli,,,,
35,,Right-Back,,,,
36,99.0,André Zambo AnguissaA. AnguissaDefensive Midfield,André Zambo Anguissa,"Nov 16, 1995 (26)",,€30.00m
37,,André Zambo AnguissaA. Anguissa,,,,
38,,Defensive Midfield,,,,
39,68.0,Stanislav LobotkaS. LobotkaDefensive Midfield,Stanislav Lobotka,"Nov 25, 1994 (27)",,€15.00m
40,,Stanislav LobotkaS. Lobotka,,,,
41,,Defensive Midfield,,,,
42,4.0,Diego DemmeD. DemmeDefensive Midfield,Diego Demme,"Nov 21, 1991 (30)",,€10.00m
43,,Diego DemmeD. Demme,,,,
44,,Defensive Midfield,,,,
45,8.0,Fabián RuizF. RuizCentral Midfield,Fabián Ruiz,"Apr 3, 1996 (26)",,€55.00m
46,,Fabián RuizF. Ruiz,,,,
47,,Central Midfield,,,,
48,7.0,Eljif ElmasE. ElmasCentral Midfield,Eljif Elmas,"Sep 24, 1999 (22)",,€24.00m
49,,Eljif ElmasE. Elmas,,,,
50,,Central Midfield,,,,
51,20.0,Piotr ZielinskiP. ZielinskiAttacking Midfield,Piotr Zielinski,"May 20, 1994 (28)",,€50.00m
52,,Piotr ZielinskiP. Zielinski,,,,
53,,Attacking Midfield,,,,
54,24.0,Lorenzo InsigneL. Insigne Left Winger,Lorenzo Insigne,"Jun 4, 1991 (31)",,€25.00m
55,,Lorenzo InsigneL. Insigne,,,,
56,,Left Winger,,,,
57,11.0,Hirving LozanoH. Lozano Right Winger,Hirving Lozano,"Jul 30, 1995 (26)",,€35.00m
58,,Hirving LozanoH. Lozano,,,,
59,,Right Winger,,,,
60,21.0,Matteo PolitanoM. PolitanoRight Winger,Matteo Politano,"Aug 3, 1993 (28)",,€27.00m
61,,Matteo PolitanoM. Politano,,,,
62,,Right Winger,,,,
63,33.0,Adam OunasA. OunasRight Winger,Adam Ounas,"Nov 11, 1996 (25)",,€8.00m
64,,Adam OunasA. Ounas,,,,
65,,Right Winger,,,,
66,9.0,Victor OsimhenV. OsimhenCentre-Forward,Victor Osimhen,"Dec 29, 1998 (23)",,€60.00m
67,,Victor OsimhenV. Osimhen,,,,
68,,Centre-Forward,,,,
69,37.0,Andrea PetagnaA. PetagnaCentre-Forward,Andrea Petagna,"Jun 30, 1995 (26)",,€13.00m
70,,Andrea PetagnaA. Petagna,,,,
71,,Centre-Forward,,,,
72,14.0,Dries MertensD. MertensCentre-Forward,Dries Mertens,"May 6, 1987 (35)",,€5.00m
73,,Dries MertensD. Mertens,,,,
74,,Centre-Forward,,,,
0,1,Wojciech SzczesnyW. SzczesnyGoalkeeper,Wojciech Szczesny,"Apr 18, 1990 (32)",,€15.00m
1,,Wojciech SzczesnyW. Szczesny,,,,
2,,Goalkeeper,,,,
3,36,Mattia PerinM. PerinGoalkeeper,Mattia Perin,"Nov 10, 1992 (29)",,€4.00m
4,,Mattia PerinM. Perin,,,,
5,,Goalkeeper,,,,
6,23,Carlo PinsoglioC. PinsoglioGoalkeeper,Carlo Pinsoglio,"Mar 16, 1990 (32)",,€400Th.
7,,Carlo PinsoglioC. Pinsoglio,,,,
8,,Goalkeeper,,,,
9,4,Matthijs de LigtM. de LigtCentre-Back,Matthijs de Ligt,"Aug 12, 1999 (22)",,€70.00m
10,,Matthijs de LigtM. de Ligt,,,,
11,,Centre-Back,,,,
12,19,Leonardo BonucciL. BonucciCentre-Back,Leonardo Bonucci,"May 1, 1987 (35)",,€8.00m
13,,Leonardo BonucciL. Bonucci,,,,
14,,Centre-Back,,,,
15,24,Daniele RuganiD. RuganiCentre-Back,Daniele Rugani,"Jul 29, 1994 (27)",,€3.50m
16,,Daniele RuganiD. Rugani,,,,
17,,Centre-Back,,,,
18,3,Giorgio ChielliniG. Chiellini Centre-Back,Giorgio Chiellini,"Aug 14, 1984 (37)",,€1.50m
19,,Giorgio ChielliniG. Chiellini,,,,
20,,Centre-Back,,,,
21,12,Alex SandroAlex SandroLeft-Back,Alex Sandro,"Jan 26, 1991 (31)",,€9.00m
22,,Alex SandroAlex Sandro,,,,
23,,Left-Back,,,,
24,17,Luca PellegriniL. PellegriniLeft-Back,Luca Pellegrini,"Mar 7, 1999 (23)",,€8.00m
25,,Luca PellegriniL. Pellegrini,,,,
26,,Left-Back,,,,
27,6,DaniloDaniloRight-Back,Danilo,"Jul 15, 1991 (30)",,€15.00m
28,,DaniloDanilo,,,,
29,,Right-Back,,,,
30,11,Juan CuadradoJ. CuadradoRight-Back,Juan Cuadrado,"May 26, 1988 (34)",,€10.00m
31,,Juan CuadradoJ. Cuadrado,,,,
32,,Right-Back,,,,
33,2,Mattia De SciglioM. De SciglioRight-Back,Mattia De Sciglio,"Oct 20, 1992 (29)",,€6.00m
34,,Mattia De SciglioM. De Sciglio,,,,
35,,Right-Back,,,,
36,27,Manuel LocatelliM. LocatelliDefensive Midfield,Manuel Locatelli,"Jan 8, 1998 (24)",,€35.00m
37,,Manuel LocatelliM. Locatelli,,,,
38,,Defensive Midfield,,,,
39,28,Denis ZakariaD. ZakariaDefensive Midfield,Denis Zakaria,"Nov 20, 1996 (25)",,€27.00m
40,,Denis ZakariaD. Zakaria,,,,
41,,Defensive Midfield,,,,
42,5,ArthurArthurDefensive Midfield,Arthur,"Aug 12, 1996 (25)",,€20.00m
43,,ArthurArthur,,,,
44,,Defensive Midfield,,,,
45,14,Weston McKennieW. McKennieCentral Midfield,Weston McKennie,"Aug 28, 1998 (23)",,€25.00m
46,,Weston McKennieW. McKennie,,,,
47,,Central Midfield,,,,
48,25,Adrien RabiotA. RabiotCentral Midfield,Adrien Rabiot,"Apr 3, 1995 (27)",,€18.00m
49,,Adrien RabiotA. Rabiot,,,,
50,,Central Midfield,,,,
51,-,Aaron RamseyA. RamseyCentral Midfield,Aaron Ramsey,"Dec 26, 1990 (31)",,€5.00m
52,,Aaron RamseyA. Ramsey,,,,
53,,Central Midfield,,,,
54,38,Marley AkéM. AkéLeft Winger,Marley Aké,"Jan 5, 2001 (21)",,€2.20m
55,,Marley AkéM. Aké,,,,
56,,Left Winger,,,,
57,22,Federico ChiesaF. Chiesa Right Winger,Federico Chiesa,"Oct 25, 1997 (24)",,€70.00m
58,,Federico ChiesaF. Chiesa,,,,
59,,Right Winger,,,,
60,20,Federico BernardeschiF. BernardeschiRight Winger,Federico Bernardeschi,"Feb 16, 1994 (28)",,€15.00m
61,,Federico BernardeschiF. Bernardeschi,,,,
62,,Right Winger,,,,
63,10,Paulo DybalaP. DybalaSecond Striker,Paulo Dybala,"Nov 15, 1993 (28)",,€40.00m
64,,Paulo DybalaP. Dybala,,,,
65,,Second Striker,,,,
66,7,Dušan VlahovićD. Vlahović Centre-Forward,Dušan Vlahović,"Jan 28, 2000 (22)",,€85.00m
67,,Dušan VlahovićD. Vlahović,,,,
68,,Centre-Forward,,,,
69,9,Álvaro MorataÁ. MorataCentre-Forward,Álvaro Morata,"Oct 23, 1992 (29)",,€30.00m
70,,Álvaro MorataÁ. Morata,,,,
71,,Centre-Forward,,,,
72,18,Moise KeanM. KeanCentre-Forward,Moise Kean,"Feb 28, 2000 (22)",,€28.00m
73,,Moise KeanM. Kean,,,,
74,,Centre-Forward,,,,
75,21,Kaio JorgeKaio Jorge Centre-Forward,Kaio Jorge,"Jan 24, 2002 (20)",,€10.00m
76,,Kaio JorgeKaio Jorge,,,,
77,,Centre-Forward,,,,
0,1,Juan MussoJ. MussoGoalkeeper,Juan Musso,"May 6, 1994 (28)",,€20.00m
1,,Juan MussoJ. Musso,,,,
2,,Goalkeeper,,,,
3,57,Marco SportielloM. SportielloGoalkeeper,Marco Sportiello,"May 10, 1992 (30)",,€1.50m
4,,Marco SportielloM. Sportiello,,,,
5,,Goalkeeper,,,,
6,31,Francesco RossiF. RossiGoalkeeper,Francesco Rossi,"Apr 27, 1991 (31)",,€100Th.
7,,Francesco RossiF. Rossi,,,,
8,,Goalkeeper,,,,
9,28,Merih DemiralM. DemiralCentre-Back,Merih Demiral,"Mar 5, 1998 (24)",,€30.00m
10,,Merih DemiralM. Demiral,,,,
11,,Centre-Back,,,,
12,19,Berat DjimsitiB. DjimsitiCentre-Back,Berat Djimsiti,"Feb 19, 1993 (29)",,€20.00m
13,,Berat DjimsitiB. Djimsiti,,,,
14,,Centre-Back,,,,
15,2,Rafael TolóiR. Tolói Centre-Back,Rafael Tolói,"Oct 10, 1990 (31)",,€13.00m
16,,Rafael TolóiR. Tolói,,,,
17,,Centre-Back,,,,
18,6,José Luis PalominoJ. PalominoCentre-Back,José Luis Palomino,"Jan 5, 1990 (32)",,€9.00m
19,,José Luis PalominoJ. Palomino,,,,
20,,Centre-Back,,,,
21,42,Giorgio ScalviniG. ScalviniCentre-Back,Giorgio Scalvini,"Dec 11, 2003 (18)",,€5.00m
22,,Giorgio ScalviniG. Scalvini,,,,
23,,Centre-Back,,,,
24,13,Giuseppe PezzellaG. PezzellaLeft-Back,Giuseppe Pezzella,"Nov 29, 1997 (24)",,€6.00m
25,,Giuseppe PezzellaG. Pezzella,,,,
26,,Left-Back,,,,
27,3,Joakim MaehleJ. MaehleRight-Back,Joakim Maehle,"May 20, 1997 (25)",,€17.00m
28,,Joakim MaehleJ. Maehle,,,,
29,,Right-Back,,,,
30,33,Hans HateboerH. HateboerRight-Back,Hans Hateboer,"Jan 9, 1994 (28)",,€16.00m
31,,Hans HateboerH. Hateboer,,,,
32,,Right-Back,,,,
33,77,Davide ZappacostaD. ZappacostaRight-Back,Davide Zappacosta,"Jun 11, 1992 (29)",,€10.00m
34,,Davide ZappacostaD. Zappacosta,,,,
35,,Right-Back,,,,
36,7,Teun KoopmeinersT. KoopmeinersDefensive Midfield,Teun Koopmeiners,"Feb 28, 1998 (24)",,€25.00m
37,,Teun KoopmeinersT. Koopmeiners,,,,
38,,Defensive Midfield,,,,
39,15,Marten de RoonM. de RoonDefensive Midfield,Marten de Roon,"Mar 29, 1991 (31)",,€20.00m
40,,Marten de RoonM. de Roon,,,,
41,,Defensive Midfield,,,,
42,11,Remo FreulerR. FreulerCentral Midfield,Remo Freuler,"Apr 15, 1992 (30)",,€24.00m
43,,Remo FreulerR. Freuler,,,,
44,,Central Midfield,,,,
45,18,Ruslan MalinovskyiR. MalinovskyiAttacking Midfield,Ruslan Malinovskyi,"May 4, 1993 (29)",,€30.00m
46,,Ruslan MalinovskyiR. Malinovskyi,,,,
47,,Attacking Midfield,,,,
48,88,Mario PasalicM. PasalicAttacking Midfield,Mario Pasalic,"Feb 9, 1995 (27)",,€28.00m
49,,Mario PasalicM. Pasalic,,,,
50,,Attacking Midfield,,,,
51,32,Matteo PessinaM. PessinaAttacking Midfield,Matteo Pessina,"Apr 21, 1997 (25)",,€18.00m
52,,Matteo PessinaM. Pessina,,,,
53,,Attacking Midfield,,,,
54,59,Aleksey MiranchukA. MiranchukAttacking Midfield,Aleksey Miranchuk,"Oct 17, 1995 (26)",,€11.00m
55,,Aleksey MiranchukA. Miranchuk,,,,
56,,Attacking Midfield,,,,
57,10,Jérémie BogaJ. BogaLeft Winger,Jérémie Boga,"Jan 3, 1997 (25)",,€20.00m
58,,Jérémie BogaJ. Boga,,,,
59,,Left Winger,,,,
60,20,Valentin MihailaV. MihailaLeft Winger,Valentin Mihaila,"Feb 2, 2000 (22)",,€6.00m
61,,Valentin MihailaV. Mihaila,,,,
62,,Left Winger,,,,
63,-,Bryan CabezasB. Cabezas Left Winger,Bryan Cabezas,"Mar 20, 1997 (25)",,€300Th.
64,,Bryan CabezasB. Cabezas,,,,
65,,Left Winger,,,,
66,72,Josip IlicicJ. IlicicSecond Striker,Josip Ilicic,"Jan 29, 1988 (34)",,€3.00m
67,,Josip IlicicJ. Ilicic,,,,
68,,Second Striker,,,,
69,91,Duván ZapataD. ZapataCentre-Forward,Duván Zapata,"Apr 1, 1991 (31)",,€30.00m
70,,Duván ZapataD. Zapata,,,,
71,,Centre-Forward,,,,
72,9,Luis MurielL. Muriel Centre-Forward,Luis Muriel,"Apr 16, 1991 (31)",,€22.00m
73,,Luis MurielL. Muriel,,,,
74,,Centre-Forward,,,,
0,1.0,Rui PatrícioR. PatrícioGoalkeeper,Rui Patrício,"Feb 15, 1988 (34)",,€8.00m
1,,Rui PatrícioR. Patrício,,,,
2,,Goalkeeper,,,,
3,87.0,Daniel FuzatoD. FuzatoGoalkeeper,Daniel Fuzato,"Jul 4, 1997 (24)",,€800Th.
4,,Daniel FuzatoD. Fuzato,,,,
5,,Goalkeeper,,,,
6,63.0,Pietro BoerP. BoerGoalkeeper,Pietro Boer,"May 12, 2002 (20)",,€150Th.
7,,Pietro BoerP. Boer,,,,
8,,Goalkeeper,,,,
9,3.0,Roger IbañezRoger IbañezCentre-Back,Roger Ibañez,"Nov 23, 1998 (23)",,€25.00m
10,,Roger IbañezRoger Ibañez,,,,
11,,Centre-Back,,,,
12,23.0,Gianluca ManciniG. ManciniCentre-Back,Gianluca Mancini,"Apr 17, 1996 (26)",,€25.00m
13,,Gianluca ManciniG. Mancini,,,,
14,,Centre-Back,,,,
15,24.0,Marash KumbullaM. KumbullaCentre-Back,Marash Kumbulla,"Feb 8, 2000 (22)",,€18.00m
16,,Marash KumbullaM. Kumbulla,,,,
17,,Centre-Back,,,,
18,6.0,Chris SmallingC. SmallingCentre-Back,Chris Smalling,"Nov 22, 1989 (32)",,€8.00m
19,,Chris SmallingC. Smalling,,,,
20,,Centre-Back,,,,
21,37.0,Leonardo SpinazzolaL. SpinazzolaLeft-Back,Leonardo Spinazzola,"Mar 25, 1993 (29)",,€20.00m
22,,Leonardo SpinazzolaL. Spinazzola,,,,
23,,Left-Back,,,,
24,5.0,Matías ViñaM. ViñaLeft-Back,Matías Viña,"Nov 9, 1997 (24)",,€9.00m
25,,Matías ViñaM. Viña,,,,
26,,Left-Back,,,,
27,2.0,Rick KarsdorpR. KarsdorpRight-Back,Rick Karsdorp,"Feb 11, 1995 (27)",,€13.00m
28,,Rick KarsdorpR. Karsdorp,,,,
29,,Right-Back,,,,
30,18.0,Davide SantonD. SantonRight-Back,Davide Santon,"Jan 2, 1991 (31)",,€800Th.
31,,Davide SantonD. Santon,,,,
32,,Right-Back,,,,
33,4.0,Bryan CristanteB. CristanteDefensive Midfield,Bryan Cristante,"Mar 3, 1995 (27)",,€20.00m
34,,Bryan CristanteB. Cristante,,,,
35,,Defensive Midfield,,,,
36,42.0,Amadou DiawaraA. DiawaraDefensive Midfield,Amadou Diawara,"Jul 17, 1997 (24)",,€8.00m
37,,Amadou DiawaraA. Diawara,,,,
38,,Defensive Midfield,,,,
39,55.0,Ebrima DarboeE. DarboeDefensive Midfield,Ebrima Darboe,"Jun 6, 2001 (21)",,€2.00m
40,,Ebrima DarboeE. Darboe,,,,
41,,Defensive Midfield,,,,
42,65.0,Filippo TripiF. TripiDefensive Midfield,Filippo Tripi,"Jan 6, 2002 (20)",,€300Th.
43,,Filippo TripiF. Tripi,,,,
44,,Defensive Midfield,,,,
45,17.0,Jordan VeretoutJ. VeretoutCentral Midfield,Jordan Veretout,"Mar 1, 1993 (29)",,€22.00m
46,,Jordan VeretoutJ. Veretout,,,,
47,,Central Midfield,,,,
48,27.0,Sérgio OliveiraS. OliveiraCentral Midfield,Sérgio Oliveira,"Jun 2, 1992 (30)",,€13.00m
